"","ID","Genotype_rec","Genotype","CMD","DMC","Year","Institutional.source.of.this.variety","Pedigree","CIAT.related","CMD.Resistance","Dry.matter.content..in...","X.1","MATINH","ID.y","X","IDHO","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B12A1_C0A","M4B12A1_C0B","M4B12A1_C0C","M4B12A1_C0D","M4B12A2_C1","M4B12A2_C1A","M4B12A2_C1A_GHIRO","M4B12A3_TENTR","M4B12A3_C2","M4B12A3_C3","M4B12A3_C4","M4B12A3_C5","M4B12A3_C6","M4B12A3_C6_GHIRO","M4B12A3_C7","M4B12A3_C8","M4B12A3_C91","M4B12A3_C92","M4B12A3_C93","M4B12A3_C94","M4B12A3_C95","M4B12A3_C10D","M4B12A3_C10M","M4B12A4_C1","M4B12A4_KD","M4B12A4_VD","M4B12A1_MA","M4B12A1_C1","M4B12A1_C1_GHIRO","M4B12A1_C2","M4B12A1_C3","M4B12A1_C4","M4B12A1_C5","M4B12A1_C6","Province_name","Region"
"203","237","KM98-5","KM98-5/BRA1305/ARG49",FALSE,FALSE,18,"IAS","Rayong 90  * KM 98-1","Yes","",NA,79,11,"11-100-3365002015",1313,3365002015,100,3365,2,15,4,1,2,2,2,1,NA,"","THỬA 1",1,1,"sắn thường",1,6,"",5,2,2,2,2,2,1,18,11,NA,NA,NA,1,3,"","99",3358,5,NA,7400,"Dien Bien","NMMA"
"204","238","KM57","KM57_VNM8",TRUE,TRUE,NA,NA,NA,"No",NA,NA,97,11,"11-102-3302016007",506,3302016007,102,3302,16,7,2,2,2,2,1,1,NA,NA,"NƯƠNG SẮN",1,2,"sắn trắng",99,6,NA,4,1,1,1,1,1,1,20,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dien Bien","NMMA"
"205","239","KM98-5","KM98-5/BRA1305/ARG49",FALSE,FALSE,18,"IAS","Rayong 90  * KM 98-1","Yes","",NA,123,11,"11-97-3202001005",484,3202001005,97,3202,1,5,2,1,2,2,2,1,NA,NA,"THỬA 1",1,1,"KM140",1,2,NA,3,2,2,2,1,2,1,1,5,NA,NA,NA,1,4,NA,NA,NA,NA,NA,2250,"Dien Bien","NMMA"
"206","24","Cao San","sắn trắng/cao sản",TRUE,TRUE,NA,NA,NA,"No",NA,NA,362,26,"26-253-8821002008",193,8821002008,253,8821,2,8,3,2,2,2,1,1,NA,"","THỬA RUỘNG 1",1,2,"sắn dù (sắn trắng)",2,6,"",10,1,1,2,1,2,1,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vinh Phuc","RRD"
"207","240","KM98-5","KM98-5/BRA1305/ARG49",FALSE,FALSE,18,"IAS","Rayong 90  * KM 98-1","Yes","",NA,89,11,"11-101-3214008015",898,3214008015,101,3214,8,15,1,2,2,1,2,1,1,NA,"MẢNH 1",1,1,"cao sản",1,2,NA,2,2,1,2,1,1,2,23,2,NA,NA,NA,3,1,NA,"99",3356,5,NA,20000,"Dien Bien","NMMA"
"208","241","Dịa phương","giống địa phương",FALSE,TRUE,NA,NA,NA,"No",NA,NA,150,12,"12-109-3565003009",89,3565003009,109,3565,3,9,3,2,2,2,1,1,NA,"","CĂNG HÁ",1,1,"giống địa phương",2,6,"",1,1,2,1,1,1,1,11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lai Chau","NMMA"
"209","242","Sắn tre","Sắn đỏ ( Sắn tre)",TRUE,TRUE,NA,NA,NA,"No",NA,NA,157,12,"12-110-3628002003",542,3628002003,110,3628,2,3,2,2,2,2,1,1,1,NA,"NƯƠNG SẮN BẢN HUỔI BẮC",1,1,"sắn địa phương",1,6,NA,20,2,2,2,1,2,1,19,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lai Chau","NMMA"
"210","243","Dịa phương","giống địa phương",FALSE,TRUE,NA,NA,NA,"No",NA,NA,146,12,"12-109-3562003008",535,3562003008,109,3562,3,8,2,2,2,2,1,1,NA,NA,"NHÓM 2",1,1,"giống địa phương",1,6,NA,1,1,2,2,1,1,1,18,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lai Chau","NMMA"
"211","244","KM98-5","KM98/CR63/TAI9",TRUE,TRUE,18,"IAS","Rayong 90  * KM 98-1","Yes","",NA,126,12,"12-107-3442007001",509,3442007001,107,3442,7,1,2,2,2,2,1,1,NA,NA,"BẢN PA UE",2,1,"địa phương",1,6,NA,9,2,2,2,1,2,1,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lai Chau","NMMA"
"212","245","Dịa phương","giống địa phương",FALSE,TRUE,NA,NA,NA,"No",NA,NA,153,12,"12-109-3577010001",1333,3577010001,109,3577,10,1,4,1,2,2,2,1,NA,"","NHÀ CHIN",1,1,"giống địa phương",1,5,"",2,2,2,2,2,2,1,11,11,NA,NA,NA,1,1,"","99",3577,2,NA,1200,"Lai Chau","NMMA"
"213","247","Sắn tre","Sắn đỏ ( Sắn tre)",TRUE,TRUE,NA,NA,NA,"No",NA,NA,173,12,"12-107-3469007015",69,3469007015,107,3469,7,15,3,2,2,2,1,1,NA,"","CÁNH ĐỒNG NẬM LỌ",1,1,"giống sắn đỏ",99,6,"",1,2,1,1,1,1,1,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lai Chau","NMMA"
"214","248","KM98-5","KM98/CR63/TAI9",TRUE,TRUE,18,"IAS","Rayong 90  * KM 98-1","Yes","",NA,166,12,"12-112-3472004003",520,3472004003,112,3472,4,3,2,2,2,2,1,1,NA,NA,"MƯỜNG MÔ",1,1,"sắn nếp",2,6,NA,4,2,1,2,1,1,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lai Chau","NMMA"
"215","249","Dịa phương","giống địa phương",FALSE,TRUE,NA,NA,NA,"No",NA,NA,145,12,"12-109-3562003007",534,3562003007,109,3562,3,7,2,2,2,2,1,1,NA,NA,"NHÓM 2",1,1,"giống địa phương",1,6,NA,2,1,2,1,1,1,1,17,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lai Chau","NMMA"
"216","250","KM57","KM57_VNM8",TRUE,TRUE,NA,NA,NA,"No",NA,NA,125,12,"12-106-3390005010",66,3390005010,106,3390,5,10,3,2,2,2,1,1,NA,"","ĐỒI CÂY",1,1,"sắn ta",1,6,"",2,2,1,2,1,1,1,12,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lai Chau","NMMA"
"217","251","KM98-5","KM98-5/BRA1305/ARG49",FALSE,FALSE,18,"IAS","Rayong 90  * KM 98-1","Yes","",NA,135,12,"12-108-3526006004",82,3526006004,108,3526,6,4,3,1,2,2,2,1,NA,"","NẬM CHĂNG",1,1,"lai đỏ",1,6,"",6,2,2,2,1,2,1,7,8,NA,NA,NA,1,1,"","99",3517,2,NA,37500,"Lai Chau","NMMA"
"218","252","KM98-5","KM98/CR63/TAI9",TRUE,TRUE,18,"IAS","Rayong 90  * KM 98-1","Yes","",NA,170,12,"12-112-3503005004",106,3503005004,112,3503,5,4,3,2,2,2,1,1,NA,"","NẬM NÓ2",1,1,"địa phương",1,6,"",5,2,2,2,2,2,2,13,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lai Chau","NMMA"
"219","253","Dịa phương","giống địa phương",TRUE,TRUE,NA,NA,NA,"No",NA,NA,128,12,"12-107-3442007011",515,3442007011,107,3442,7,11,2,2,2,2,1,1,NA,NA,"CÁNH ĐỒNG PA Ủ",1,1,"giống địa phương",1,6,NA,3,2,2,2,2,2,1,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lai Chau","NMMA"
"220","254","Dịa phương","giống địa phương",FALSE,TRUE,NA,NA,NA,"No",NA,NA,149,12,"12-109-3565003008",86,3565003008,109,3565,3,8,3,2,2,2,1,1,NA,"","CĂNG HÁ",1,1,"giống địa phương",1,6,"",2,2,2,1,1,1,1,14,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lai Chau","NMMA"
"221","255","Dịa phương","giống địa phương",FALSE,TRUE,NA,NA,NA,"No",NA,NA,144,12,"12-109-3562003003",532,3562003003,109,3562,3,3,2,1,2,2,2,1,NA,NA,"nhom 2",1,1,"Địa phương",1,6,NA,4,2,1,1,1,1,1,22,5,NA,NA,NA,1,2,NA,"99",3562,4,NA,3000,"Lai Chau","NMMA"
