"IDHO","region","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","Expr1","Expr2","Expr3","Expr4","Expr6","Expr5","M4B111_C6","M4B111_C7","M4B111_C8","M4B111_C9","M4B111_C10","M4B111_C11","M4B111_C121","M4B111_C122","M4B111_C123","M4B111_C124","M4B111_C125","M4B111_C13","M4B111_C14","M4B112_C1","M4B113_C1","M4B113_C2","M4B113_C3","M4B113_C4","M4B113_C5","M4B113_C6","M4B113_C7","M4B113_C8","M4B113_C9","M4B113_C101","M4B113_C102","M4B113_C103","M4B113_C104","M4B113_C105","M4B113_C106","M4B113_C111","M4B113_C112","M4B113_C113","M4B113_C114","M4B113_C115","M4B113_C116","M4B113_C117","M4B113_C117GHIRO","M4B113_C121","M4B113_C122","M4B113_C123","M4B113_C124","M4B113_C125","M4B113_C131","M4B113_C132","M4B113_C133","M4B113_C134","M4B113_C135","M4B113_C14N","M4B113_C14T","M4B113_C16","KINHDO","VIDO","season","wt45"
"04537008005",2,"15","138","04537","008","005",9,"15","138","04537","008","005",9,1,3,6,1,1,5,1,2,2,2,2,2,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,294
"04537008006",2,"15","138","04537","008","006",9,"15","138","04537","008","006",9,1,3,9,1,1,6,1,2,2,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,294
"04537008007",2,"15","138","04537","008","007",9,"15","138","04537","008","007",9,1,3,7,1,1,6,2,1,2,2,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,294
"04537008008",2,"15","138","04537","008","008",9,"15","138","04537","008","008",9,1,3,7,1,1,3,1,2,2,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,294
"04537008009",2,"15","138","04537","008","009",9,"15","138","04537","008","009",9,1,2,6,1,1,5,1,2,2,2,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,294
"04537008011",2,"15","138","04537","008","011",9,"15","138","04537","008","011",9,4,2,5,1,1,2,1,2,2,2,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,294
"04537008012",2,"15","138","04537","008","012",9,"15","138","04537","008","012",9,4,2,5,1,1,2,1,2,1,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,294
"04537008013",2,"15","138","04537","008","013",9,"15","138","04537","008","013",9,4,1,3,1,1,4,1,2,2,2,2,2,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,294
"04537008014",2,"15","138","04537","008","014",9,"15","138","04537","008","014",9,4,1,5,3,1,2,1,2,2,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,294
"04537008015",2,"15","138","04537","008","015",9,"15","138","04537","008","015",9,4,1,5,3,1,2,1,2,2,2,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,294
"04558006003",2,"15","132","04558","006","003",3,"15","132","04558","006","003",3,1,0,NA,2,1,2,2,1,2,2,2,1,NA,1,1,"NHÀBÒ",720,1,"thiênưu8",2,1,3,4,2,2,1,2,2,2,2,2,1,2,2,2,2,"",2,1,2,2,2,NA,1,NA,NA,NA,10,3,"00858",104.9397358,21.6689948,1,294
"04558006006",2,"15","132","04558","006","006",3,"15","132","04558","006","006",3,1,0,NA,2,1,3,1,2,2,2,2,5,1,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,294
"04558006010",2,"15","132","04558","006","010",3,"15","132","04558","006","010",3,1,0,NA,2,1,3,2,1,2,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,294
"04558006014",2,"15","132","04558","006","014",3,"15","132","04558","006","014",3,1,0,NA,2,2,2,1,2,2,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,294
