"","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","STT","M4B11A3_C3","M4B11A3_C41","M4B11A3_C42","M4B11A3_C43","M4B11A3_C499","M4B11A3_C5","M4B11A3_C6","M4B11A3_C8","KYDIEUTRA"
"196","06","064","02047","004","015","02047004015",0,"4;",2,1,2,2,3,1,NA,1
"197","06","066","02173","005","005","02173005005",0,"2;8;",2,1,2,2,3,2,NA,1
"198","06","066","02173","005","005","02173005005",1,"4;",2,1,2,2,4,2,NA,1
"199","06","066","02173","005","006","02173005006",0,"1;2;4;",2,1,2,2,2,2,NA,1
"200","06","066","02173","005","006","02173005006",1,"1;2;4;",2,1,2,2,2,5,NA,1
"201","06","066","02173","005","008","02173005008",0,"8;",2,1,2,2,2,3,NA,1
"202","06","066","02173","005","009","02173005009",0,"2;3;4;5;6;8;9;10;17;",1,1,2,2,7,1,NA,1
"203","06","066","02173","005","010","02173005010",0,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;20;21;22;23;24;25;",1,1,2,2,13,1,NA,1
"204","06","066","02173","005","011","02173005011",0,"3;4;",2,1,2,2,3,2,NA,1
"205","06","066","02173","005","011","02173005011",1,"1;2;",2,1,2,2,3,1,NA,1
"206","06","066","02173","005","011","02173005011",2,"2;",2,1,2,2,3,1,NA,1
"207","06","066","02173","005","011","02173005011",3,"1;2;",2,1,2,2,3,1,NA,1
"208","06","066","02173","005","011","02173005011",4,"2;3;",2,1,2,2,3,1,NA,1
"209","06","066","02173","005","013","02173005013",0,"1;2;3;4;5;6;7;8;9;10;12;",1,1,2,2,9,3,NA,1
"210","06","066","02173","005","014","02173005014",0,"1;2;3;4;6;7;8;9;10;12;20;26;",1,1,2,2,7,3,NA,1
"211","08","070","02215","013","004","02215013004",1,"19;",1,1,2,2,3,1,NA,1
"212","08","070","02215","013","004","02215013004",2,"19;",1,1,2,2,6,1,NA,1
"213","08","070","02215","013","004","02215013004",3,"20;",1,1,2,2,7,1,NA,1
"214","08","072","02275","005","001","02275005001",0,"4;",2,1,2,2,5,1,NA,1
"215","08","072","02275","005","001","02275005001",1,"7;",2,1,2,2,9,1,NA,1
"216","08","072","02275","005","002","02275005002",1,"4;",1,2,2,2,3,1,NA,1
"217","08","072","02275","005","002","02275005002",2,"20;",1,2,2,2,9,1,NA,1
"218","08","072","02275","005","003","02275005003",0,"20;",2,1,2,2,15,1,NA,1
"219","08","072","02275","005","004","02275005004",1,"20;",1,2,2,2,9,1,NA,1
"220","08","072","02275","005","005","02275005005",1,"4;",2,1,2,2,4,1,NA,1
"221","08","072","02275","005","005","02275005005",2,"7;",2,1,2,2,10,1,NA,1
"222","08","072","02275","005","006","02275005006",1,"20;",1,2,2,2,9,1,NA,1
"223","08","072","02275","005","007","02275005007",0,"4;",2,1,2,2,4,1,NA,1
"224","08","072","02275","005","007","02275005007",1,"7;",2,1,2,2,7,1,NA,1
"225","08","072","02275","005","007","02275005007",2,"8;",2,1,2,2,15,1,NA,1
"226","08","072","02275","005","008","02275005008",1,"20;",1,2,2,2,9,1,NA,1
"227","08","072","02275","005","009","02275005009",1,"4;",2,1,2,2,6,1,NA,1
"228","08","072","02275","005","009","02275005009",2,"7;",2,1,2,2,8,1,NA,1
"229","08","072","02275","005","010","02275005010",1,"8;",1,2,2,2,10,1,NA,1
"230","08","072","02275","005","011","02275005011",0,"4;",2,1,2,2,4,1,NA,1
"231","08","072","02275","005","011","02275005011",1,"7;",2,1,2,2,8,1,NA,1
"232","08","072","02275","005","012","02275005012",1,"8;",1,2,2,2,9,1,NA,1
"233","08","072","02275","005","014","02275005014",1,"20;",1,2,2,2,9,1,NA,1
"234","08","072","02275","005","015","02275005015",0,"4;",2,1,2,2,4,1,NA,1
"235","08","072","02275","005","015","02275005015",1,"7;",2,1,2,2,8,1,NA,1
"236","08","073","02344","008","002","02344008002",1,"1;",2,1,2,2,1,1,NA,1
"237","08","073","02344","008","003","02344008003",1,"1;",2,1,2,2,1,1,NA,1
"238","08","073","02344","008","003","02344008003",2,"1;",2,1,2,2,1,1,NA,1
"239","08","073","02344","008","004","02344008004",1,"1;",2,1,2,2,1,1,NA,1
"240","08","073","02344","008","005","02344008005",0,"4;",2,2,2,1,1,1,NA,1
"241","08","073","02344","008","006","02344008006",1,"17;",2,1,2,2,1,1,NA,1
"242","08","073","02344","008","007","02344008007",1,"2;",2,1,2,2,1,1,NA,1
"243","08","073","02344","008","008","02344008008",0,"23;",2,1,2,2,4,1,NA,1
"244","08","073","02344","008","008","02344008008",1,"20;",2,1,2,2,14,2,NA,1
"245","08","073","02344","008","011","02344008011",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"246","08","073","02344","008","014","02344008014",0,"1;",1,2,2,2,0,1,NA,1
"247","08","073","02344","008","014","02344008014",1,"20;",1,2,2,2,9,1,NA,1
"248","08","073","02344","008","014","02344008014",2,"14;",1,2,2,2,15,1,NA,1
"249","08","073","02344","008","015","02344008015",0,"1;2;",1,2,2,2,0,1,NA,1
"250","08","073","02344","008","015","02344008015",1,"20;",1,2,2,2,9,1,NA,1
"251","08","073","02344","008","015","02344008015",2,"14;15;",1,2,2,2,12,1,NA,1
"252","08","073","02353","003","002","02353003002",1,"1;",2,1,2,2,3,1,NA,1
"253","08","073","02353","003","003","02353003003",1,"1;",1,1,2,2,1,1,NA,1
"254","08","073","02353","003","003","02353003003",2,"1;",1,1,2,2,1,1,NA,1
"255","08","073","02353","003","004","02353003004",1,"1;",2,1,2,2,1,2,NA,1
"256","08","073","02353","003","004","02353003004",2,"1;",2,1,2,2,1,2,NA,1
"257","08","073","02353","003","005","02353003005",1,"17;",2,1,2,2,0,1,NA,1
"258","08","073","02353","003","007","02353003007",1,"17;",2,2,2,1,1,1,NA,1
"259","08","073","02353","003","008","02353003008",0,"4;8;",2,1,2,2,5,2,NA,1
