indNames,01_GIFT,02_GIFTff,03_BEST,04_ExCEL,05_Molobicus,06_NileXMoss,07_Abbassa_10,08_Chitralada,09_FaST,10_Mossambicus,GENOGain,RIA1,Similarity,pop,country
Q1-389,6.38E-161,5.61E-152,1.14E-212,1.59E-178,1.93E-218,5.80E-160,1.75E-231,6.97E-163,6.09E-299,6.08E-280,3.22E-20,1,RIA1,Ha_35,Unspecified
Q1-399,1.31E-123,2.22E-116,1.63E-180,1.12E-136,2.61E-172,1.17E-117,1.43E-186,3.82E-124,7.98E-253,1.53E-227,2.82E-14,1,RIA1,Ha_25,Unspecified
Q1-403,5.35E-191,2.37E-197,2.75E-262,9.61E-225,2.66E-290,1.23E-216,2.64E-306,3.51E-216,0,0,4.76E-13,1,RIA1,Ha_18,Unspecified
Q1-41,7.19E-187,3.03E-187,2.96E-260,1.16E-216,6.22E-294,2.68E-207,2.50E-284,1.52E-205,0,0,1.59E-15,1,RIA1,Ha_19,Unspecified
Q1-413,1.25E-217,5.81E-210,6.96E-275,4.21E-244,3.17E-305,1.04E-226,3.79493473922821e-310,3.59E-226,0,0,2.13E-21,1,RIA1,Ha_57,Unspecified
Q1-416,3.81E-156,2.37E-144,7.21E-204,7.04E-159,2.46E-231,1.50E-153,9.50E-222,2.34E-152,2.38E-272,3.19E-276,1.82E-21,1,RIA1,Ha_25,Unspecified
Q1-419,1.10E-190,5.72E-191,1.28E-253,4.64E-224,5.68E-287,2.77E-209,1.02E-289,3.53E-204,0,0,2.23E-23,1,RIA1,Ha_22,Unspecified
Q1-425,3.94E-191,1.50E-200,2.32E-270,1.04E-221,8.25E-297,3.85E-215,5.78E-303,3.83E-222,9.88131291682493e-324,0,1.79E-17,1,RIA1,Ha_17,Unspecified
Q1-426,3.63E-187,7.34E-184,1.74E-249,9.28E-217,6.45E-272,7.56E-198,9.34E-274,3.73E-206,0,0,2.03E-12,1,RIA1,Ha_20,Unspecified
Q1-428,6.59E-170,7.34E-158,5.76E-214,4.66E-176,1.71E-241,7.45E-159,7.50E-233,2.22E-165,7.23E-272,3.55E-284,2.48E-21,1,RIA1,Ha_31,Unspecified
Q1-437,4.93E-165,3.55E-158,2.85E-217,6.34E-186,2.88E-247,1.60E-172,1.78E-244,3.44E-171,1.07E-299,1.02E-301,2.08E-21,1,RIA1,Ha_14,Unspecified
Q1-446,2.77E-216,1.04E-213,2.84E-284,1.28E-246,5.59282311092291e-321,3.56E-234,7.54112157873328e-319,4.62E-242,0,0,6.59E-24,1,RIA1,Ha_09,Unspecified
Q1-466,4.35E-229,1.35E-223,3.34E-290,1.48E-251,0,3.11E-246,0,1.14E-251,0,0,7.89E-26,1,RIA1,Ha_24,Unspecified
Q1-470,5.01E-91,1.23E-85,9.71E-138,5.69E-111,1.57E-133,9.10E-83,2.00E-144,9.62E-93,1.39E-217,8.37E-179,4.01E-21,1,RIA1,Ha_36,Unspecified
Q1-477,2.17E-154,5.45E-142,1.32E-197,5.05E-164,1.07E-238,4.48E-165,5.97E-237,1.26E-154,2.37E-292,1.58E-297,2.40E-18,1,RIA1,Ha_10,Unspecified
Q1-483,4.98E-217,6.92E-218,2.88E-287,2.31E-245,4.66667332752409e-313,2.25E-230,0,4.53E-235,0,0,6.73E-12,1,RIA1,Ha_18,Unspecified
Q1-484,1.29E-80,3.45E-70,2.16E-122,1.90E-83,2.69E-108,7.65E-50,1.91E-143,9.41E-80,2.69E-204,9.96E-143,9.02E-12,1,RIA1,Ha_44,Unspecified
Q1-503,1.23E-208,4.18E-207,7.85E-281,1.11E-238,8.41E-306,5.01E-229,5.67E-308,2.67E-229,0,0,1.21E-10,1,RIA1,Ha_37,Unspecified
Q1-518,2.70E-201,8.67E-206,3.07E-273,8.42E-232,7.31E-302,4.39E-216,9.49E-300,3.91E-227,0,0,5.07E-15,1,RIA1,Ha_41,Unspecified
Q1-53,2.35E-166,8.11E-160,7.09E-216,2.33E-178,1.30E-237,4.55E-168,5.26E-251,8.83E-165,7.28E-292,1.86E-292,3.79E-29,1,RIA1,Ha_26,Unspecified
Q1-55,4.06E-202,2.97E-197,6.76E-255,7.57E-227,5.43E-288,1.23E-216,1.98E-305,2.45E-212,0,0,2.57E-33,1,RIA1,Ha_12,Unspecified
Q1-557,1.97E-209,1.33E-208,1.53E-274,6.26E-235,5.73E-303,1.07E-225,8.37454111257553e-314,2.32E-230,0,0,4.00E-24,1,RIA1,Ha_40,Unspecified
Q1-57,7.36E-204,2.77E-203,4.31E-269,6.61E-233,3.45E-297,4.39E-225,4.06424561548144e-311,3.58E-226,0,0,2.05E-22,1,RIA1,Ha_28,Unspecified
Q1-58,8.16E-206,8.97E-199,5.29E-267,5.00E-228,3.90E-299,2.87E-218,2.91E-303,7.88E-220,0,0,2.88E-24,1,RIA1,Ha_21,Unspecified
Q1-591,1.13E-188,1.55E-180,1.93E-247,1.02E-208,1.22E-271,5.65E-189,3.14E-256,1.55E-186,0.00E+00,3.13622990667106e-319,1.55E-13,1,RIA1,Ha_32,Unspecified
Q1-6,5.80E-143,5.48E-131,6.81E-188,2.25E-151,1.46E-197,8.54E-133,1.68E-219,5.99E-139,6.20E-245,9.27E-240,1.72E-19,1,RIA1,Ha_35,Unspecified
Q1-61,5.02E-207,1.63E-209,3.96E-283,5.60E-239,1.7080424071075e-312,9.50E-232,4.17028104286185e-316,9.05E-231,0,0,0.999999994,5.78E-09,GENOGain,Ha_39,Unspecified
Q1-646,4.92E-165,7.55E-166,2.94E-220,1.60E-178,1.17E-258,1.11E-177,9.46E-238,7.82E-170,1.43E-281,0.00E+00,4.55E-16,1,RIA1,Ha_32,Unspecified
Q1-65,4.44E-182,1.87E-174,7.79E-239,5.48E-197,1.49E-270,6.08E-194,1.89E-265,2.00E-191,6.72373937425352e-320,0,2.82E-19,1,RIA1,Ha_23,Unspecified
Q1-662,5.58E-185,4.45E-178,8.25E-248,8.54E-203,1.12E-281,1.02E-199,6.41E-278,1.59E-200,8.11107570777574e-320,0,2.60E-22,1,RIA1,Ha_38,Unspecified
Q1-663,1.25E-189,8.87E-189,4.27E-248,3.92E-216,5.57E-279,2.02E-203,1.01E-289,8.08E-203,0,0,2.24E-07,0.999999776,RIA1,Ha_38,Unspecified
Q1-685,1.71E-195,4.23E-194,1.01E-259,7.61E-219,3.57E-293,2.61E-211,3.70E-289,3.39E-215,0,0,1.43E-25,1,RIA1,Ha_38,Unspecified
Q1-69,5.78E-203,7.89E-197,7.40E-268,9.85E-225,1.89E-295,7.00E-216,4.43E-299,3.04E-221,0,0,6.63E-09,0.999999993,RIA1,Ha_29,Unspecified
Q1-698,1.15E-183,7.35E-184,1.98E-258,2.03E-216,2.40E-282,7.07E-204,3.34E-296,4.14E-212,0,0,1.53E-09,0.999999998,RIA1,Ha_40,Unspecified
Q1-699,1.88E-133,1.42E-131,1.94E-183,2.58E-148,4.86E-211,8.23E-140,7.32E-181,1.88E-137,9.94E-248,8.26E-268,7.38E-17,1,RIA1,Ha_32,Unspecified
Q1-72,1.85E-194,7.89E-192,6.63E-261,1.91E-219,3.06E-293,5.18E-209,7.41E-287,8.80E-207,0,0,2.65E-22,1,RIA1,Ha_28,Unspecified
Q1-73,3.00E-169,8.36E-156,1.42E-218,3.76E-178,4.13E-250,8.59E-172,2.32E-233,4.34E-168,7.53E-307,8.62E-298,2.84E-23,1,RIA1,Ha_36,Unspecified
Q1-735,6.25E-190,6.67E-184,3.78E-247,4.16E-209,2.32E-274,6.06E-201,3.82E-274,2.62E-198,2.2099556338479e-320,0,9.26E-11,1,RIA1,Ha_38,Unspecified
Q1-744,4.27E-194,1.49E-194,6.27E-254,3.70E-217,9.62E-290,6.57E-211,2.78E-298,1.50E-214,0,0,5.07E-18,1,RIA1,Ha_38,Unspecified
Q1-767,1.16E-189,7.58E-186,1.64E-251,3.21E-213,2.83E-296,1.59E-209,2.84E-291,6.43E-210,0,0,3.12E-24,1,RIA1,Ha_38,Unspecified
Q1-773,8.38E-186,1.28E-182,1.67E-249,6.95E-207,1.54E-276,7.98E-197,2.56E-270,7.33E-198,1.71518510454973e-316,0,4.16E-17,1,RIA1,Ha_37,Unspecified
Q1-777,8.81E-201,3.80E-200,6.03E-269,5.44E-224,3.23E-296,3.74E-216,3.54E-293,1.36E-215,0,0,5.14E-35,1,RIA1,Ha_40,Unspecified
Q1-793,3.72E-183,1.72E-178,3.23E-242,4.21E-206,8.59E-282,7.59E-196,1.03E-263,7.31E-196,0,0,1.84E-28,1,RIA1,Ha_41,Unspecified
Q1-83,7.36E-190,1.77E-184,2.28E-259,1.19E-213,8.87E-271,4.36E-197,2.38E-267,3.99E-198,0,0,1.50E-28,1,RIA1,Ha_24,Unspecified
Q1-85,1.43E-183,2.65E-174,4.35E-236,9.20E-197,1.58E-253,2.23E-182,1.13E-249,3.45E-185,1.65E-298,2.46094444039477e-317,4.73E-17,1,RIA1,Ha_14,Unspecified
Q1-93,1.93E-182,4.95E-181,7.50E-237,6.75E-207,1.21E-274,1.62E-200,9.35E-296,2.31E-198,1.54045163136896e-314,0,4.78E-10,1,RIA1,Ha_20,Unspecified
Q2-503,1.43E-193,1.25E-191,5.76E-263,3.23E-220,1.70E-291,2.48E-208,7.60E-279,3.30E-217,0,0,5.25E-18,1,RIA1,Ha_50,Unspecified
Q2-550,1.82E-211,4.84E-207,3.13E-268,1.30E-230,2.10E-299,5.77E-221,6.27E-306,1.69E-226,0,0,1.85E-10,1,RIA1,Ha_62,Unspecified
Q2-552,1.86E-195,9.27E-195,5.05E-254,5.02E-222,1.64E-292,1.97E-211,1.17E-284,6.79E-213,0,0,6.17E-27,1,RIA1,Ha_45,Unspecified
Q2-555,3.31E-145,1.22E-133,1.96E-203,1.02E-159,5.65E-218,4.80E-144,2.36E-169,3.82E-145,8.45E-263,9.55E-271,2.21E-22,1,RIA1,Ha_56,Unspecified
Q2-566,8.96E-127,2.48E-119,2.19E-184,6.90E-143,3.05E-196,3.15E-119,6.20E-210,2.14E-134,5.05E-272,9.36E-232,1.41E-28,1,RIA1,Ha_61,Unspecified
Q2-585,3.04E-202,3.69E-200,2.17E-272,1.42E-224,2.70E-295,2.60E-216,7.78E-294,3.97E-217,0,0,3.07E-30,1,RIA1,Ha_50,Unspecified
Q2-597,1.98E-216,1.10E-216,3.79E-283,2.10E-241,2.70E-307,4.17E-224,8.69155605362255e-316,6.67E-230,0,0,1.16E-09,0.999999999,RIA1,Ha_46,Unspecified
Q2-610,3.10E-213,1.06E-206,2.86E-271,1.80E-237,7.21E-299,3.08E-220,4.62E-296,7.73E-228,0,0,5.23E-26,1,RIA1,Ha_55,Unspecified
Q2-627,1.69E-197,6.59E-195,1.54E-260,1.25E-213,1.80E-297,8.26E-214,3.50E-300,7.79E-217,0,0,1.73E-21,1,RIA1,Ha_46,Unspecified
Q2-630,1.05E-169,7.10E-157,1.55E-229,1.56E-184,3.39E-245,2.32E-169,5.24E-243,4.13E-168,4.84819959431843e-310,8.87E-295,2.34E-23,1,RIA1,Ha_44,Unspecified
Q2-636,3.37E-205,8.12E-205,1.07E-272,8.99E-228,3.35E-302,2.13E-218,1.51E-304,4.75E-227,0,0,1.11E-17,1,RIA1,Ha_55,Unspecified
Q2-643,3.90E-183,1.61E-174,7.02E-241,6.48E-194,2.31E-263,2.77E-186,5.48E-259,5.38E-186,3.21E-296,1.15215219292016e-317,2.89E-19,1,RIA1,Ha_59,Unspecified
Q2-649,1.72E-150,4.93E-142,2.48E-196,1.74E-158,6.34E-222,7.30E-150,1.03E-205,3.07E-147,4.69E-267,1.45E-272,1.48E-15,1,RIA1,Ha_63,Unspecified
Q2-652,6.27E-127,1.44E-122,8.54E-179,7.28E-136,4.72E-185,5.49E-127,2.07E-203,2.09E-126,5.86E-252,5.83E-239,8.12E-14,1,RIA1,Ha_47,Unspecified
Q2-659,1.93E-204,4.71E-198,4.15E-268,3.23E-228,1.23E-292,7.77E-215,5.00E-292,2.53E-220,0,0,5.13E-11,1,RIA1,Ha_45,Unspecified
Q2-663,6.01E-190,2.82E-183,2.77E-250,1.41E-206,3.52E-281,2.85E-200,1.90E-276,2.75E-201,1.66537177571938e-318,0,1.73E-22,1,RIA1,Ha_52,Unspecified
Q2-667,2.63E-157,1.68E-165,9.03E-236,2.40E-195,9.12E-270,9.49E-193,3.24E-279,8.24E-194,4.5445601764295e-316,0,1.11E-12,1,RIA1,Ha_49,Unspecified
Q2-701,1.92E-168,1.05E-161,4.81E-227,4.43E-187,8.77E-263,3.35E-181,5.71E-254,2.82E-173,2.00E-278,5.72933344886885e-319,1.44E-11,1,RIA1,Ha_51,Unspecified
Q2-704,3.41E-126,8.09E-116,1.97E-167,4.60E-133,1.38E-174,1.02E-99,1.34E-188,2.74E-120,5.31E-251,2.89E-194,5.03E-21,1,RIA1,Ha_54,Unspecified
Q2-742,7.99E-127,7.34E-118,3.99E-177,2.33E-136,4.87E-203,2.10E-132,3.07E-160,2.06E-127,2.31E-256,1.74E-259,3.24E-17,1,RIA1,Ha_56,Unspecified
Q2-753,9.13E-183,6.94E-180,5.09E-250,2.53E-206,2.67E-275,1.40E-190,1.30E-264,3.63E-191,0.00E+00,1.23516411460312e-322,3.91E-23,1,RIA1,Ha_58,Unspecified
Q2-782,5.62E-202,2.00E-199,3.50E-270,2.10E-227,4.58E-295,1.89E-213,2.72E-294,3.74E-224,0,0,8.58E-05,0.999914176,RIA1,Ha_62,Unspecified
Q2-799,8.57E-149,2.33E-142,6.39E-202,1.43E-161,9.74E-227,1.18E-147,2.66E-189,8.22E-146,2.13E-279,1.47E-274,2.78E-14,1,RIA1,Ha_56,Unspecified
Q2-827,1.86E-150,5.54E-141,9.01E-202,8.75E-161,4.36E-228,7.24E-147,6.32E-180,3.97E-146,1.89E-270,4.07E-277,4.56E-18,1,RIA1,Ha_56,Unspecified
Q2-853,1.16E-164,3.88E-158,1.49E-223,4.44E-175,3.56E-245,8.56E-164,2.12E-199,8.01E-161,8.75E-279,1.93E-290,6.19E-23,1,RIA1,Ha_53,Unspecified
Q2-855,5.93E-214,8.81E-211,4.88E-283,8.39E-238,1.25026438878613e-310,6.92E-231,7.75540902724428e-311,2.16E-236,0,0,5.72E-12,1,RIA1,Ha_57,Unspecified
Q2-860,2.28E-212,1.36E-206,1.39E-279,1.10E-231,3.45E-306,1.93E-224,0.00E+00,5.89E-227,0,0,1.54E-21,1,RIA1,Ha_62,Unspecified
Q2-893,8.08E-175,4.34E-172,8.61E-234,6.42E-195,5.69E-270,7.05E-194,1.60E-279,6.58E-193,1.35E-291,0,1.54E-12,1,RIA1,Ha_48,Unspecified
Q2-965,5.55E-152,2.46E-142,2.40E-203,1.03E-164,4.83E-227,9.87E-153,7.48E-193,1.01E-150,4.41E-289,1.48E-282,9.52E-18,1,RIA1,Ha_56,Unspecified
Q2-981,2.69E-189,7.55E-178,6.20E-236,6.43E-197,2.61E-268,6.99E-183,1.38E-242,1.19E-180,5.56E-308,3.05980289191588e-318,1.78E-16,1,RIA1,Ha_63,Unspecified
Q2-982,3.60E-56,9.72E-36,1,2.93E-36,1.17E-54,3.87E-28,4.55E-129,1.37E-51,7.78E-153,6.47E-65,2.37E-106,8.03E-98,03_BEST,Ha_53,Unspecified
Q2-989,3.58E-166,3.35E-158,1.29E-222,8.75E-182,1.06E-234,3.59E-167,1.78E-240,2.73E-173,8.89E-304,6.82E-293,6.80E-30,1,RIA1,Ha_54,Unspecified
