indNames,01_GIFT,02_GIFTff,03_BEST,04_ExCEL,05_Molobicus,06_NileXMoss,07_Abbassa_10,08_Chitralada,09_FaST,10_Mossambicus,GENOGain,RIA1,Similarity,pop,country
Q1-35,7.18E-110,1.41E-93,7.36E-150,3.33E-108,1.39E-140,1.83E-76,4.45E-144,6.32E-96,8.67E-233,6.79E-167,3.97E-24,1,RIA1,HH_009,Unspecified
Q1-351,7.74E-248,4.25E-230,8.40E-240,2.31E-236,1.34E-17,2.29E-122,5.4982269458612e-310,4.29E-213,0,1,0,0,10_Mossambicus,HH_011,Unspecified
Q1-352,7.26E-240,9.58E-220,3.29E-231,3.91E-230,1.19E-07,8.74E-116,1.20E-298,1.26E-206,0,0.999999881,0,0,10_Mossambicus,HH_019,Unspecified
Q1-354,1.26E-151,2.73E-148,2.43E-214,1.29E-172,2.45E-229,7.47E-154,1.74E-220,6.62E-154,1.92E-266,9.40E-278,2.20E-11,1,RIA1,HH_022,Unspecified
Q1-355,1.24E-253,3.50E-233,5.92E-245,1.57E-243,2.55E-18,8.13E-127,2.08038365739277e-314,9.59E-222,0,1,0,0,10_Mossambicus,HH_028,Unspecified
Q1-357,1.90E-259,3.35E-240,2.91E-249,6.42E-249,1.97E-25,9.80E-132,4.85933819376345e-318,5.15E-227,0,1,0,0,10_Mossambicus,HH_020,Unspecified
Q1-36,2.64E-238,4.36E-219,3.36E-227,5.54E-227,0.134118098,8.78E-121,5.85E-296,5.99E-207,0,0.865881902,0,0,10_Mossambicus,HH_014,Unspecified
Q1-361,1.32E-143,1.83E-123,1.82E-146,7.94E-136,8.82E-207,1.00E-140,2.56E-204,2.11E-134,4.01E-251,6.04E-259,7.51E-21,1,RIA1,HH_040,Unspecified
Q1-362,4.12E-251,1.06E-231,9.16E-241,3.85E-241,4.12E-17,1.33E-125,3.854811019916e-310,6.41E-222,0,1,0,0,10_Mossambicus,HH_027,Unspecified
Q1-363,9.88E-233,4.02E-212,1.88E-231,2.20E-226,0.716427172,1.98E-119,1.00E-293,9.92E-209,0,0.283572828,0,0,05_Molobicus,HH_024,Unspecified
Q1-365,8.35E-249,1.79E-230,1.35E-240,5.77E-240,1.21E-17,2.30E-125,1.22E-305,4.65E-216,0,1,0,0,10_Mossambicus,HH_074,Unspecified
Q1-379,1.43E-184,9.73E-166,3.13E-189,8.41E-180,6.73E-11,2.14E-86,4.67E-225,1.55E-161,0.00E+00,1,0,0,10_Mossambicus,HH_006,Unspecified
Q1-380,1.09E-159,1.85E-149,4.92E-216,3.51E-176,7.90E-236,3.53E-163,1.24E-248,7.65E-164,1.22E-277,1.48E-290,1.79E-16,1,RIA1,HH_022,Unspecified
Q1-384,3.07E-252,2.71E-231,4.79E-243,6.35E-240,3.16E-16,1.91E-124,1.46E-307,1.48E-221,0,1,0,0,10_Mossambicus,HH_024,Unspecified
Q1-388,1.84E-156,7.01E-154,1.09E-213,1.50E-168,1.64E-226,1.13E-155,1.37E-243,7.50E-160,4.24E-274,1.89E-282,5.71E-10,0.999999999,RIA1,HH_022,Unspecified
Q1-391,5.35E-246,1.52E-226,1.40E-235,4.07E-236,3.06E-12,2.07E-120,7.50E-304,5.66E-217,0,1,0,0,10_Mossambicus,HH_030,Unspecified
Q1-395,1.77E-252,1.26E-232,1.04E-241,8.40E-241,1.07E-25,2.83E-127,5.93958168360855e-311,1.63E-220,0,1,0,0,10_Mossambicus,HH_020,Unspecified
Q1-4,2.19E-231,6.08E-212,9.10E-220,1.64E-222,1.10E-10,1.84E-115,3.58E-290,2.39E-201,0,1,0,0,10_Mossambicus,HH_014,Unspecified
Q1-400,1.28E-245,7.08E-224,3.15E-231,7.56E-233,2.55E-12,2.95E-120,6.33E-303,8.40E-215,0,1,0,0,10_Mossambicus,HH_024,Unspecified
Q1-404,4.29E-162,1.71E-151,5.35E-214,4.02E-171,1.70E-240,5.40E-152,5.71E-168,2.93E-155,6.35E-265,2.92E-280,1.22E-14,1,RIA1,HH_031,Unspecified
Q1-406,9.24E-252,1.67E-227,6.22E-235,8.00E-237,2.60E-11,1.35E-123,3.62E-307,3.38E-218,0,1,0,0,10_Mossambicus,HH_076,Unspecified
Q1-407,1.52E-156,3.75E-141,4.09E-163,7.42E-146,8.01E-21,2.84E-66,6.64E-211,1.23E-123,4.98E-262,1,0,0,10_Mossambicus,HH_008,Unspecified
Q1-408,6.38E-199,1.28E-191,5.53E-256,1.40E-211,1.40E-287,6.45E-208,2.47E-287,1.13E-209,0,0,2.46E-15,1,RIA1,HH_010,Unspecified
Q1-409,4.60E-247,1.07E-227,7.41E-239,2.16E-238,4.54E-10,1.85E-123,3.97E-303,2.01E-217,0,1,0,0,10_Mossambicus,HH_098,Unspecified
Q1-411,2.69E-243,1.36E-223,7.36E-236,9.01E-230,1.11E-09,2.91E-122,6.11E-303,1.06E-213,0,0.999999999,0,0,10_Mossambicus,HH_097,Unspecified
Q1-415,2.67E-155,7.47E-151,5.26E-218,1.70E-179,6.67E-228,1.72E-152,6.15E-237,7.25E-168,6.74E-294,1.73E-273,1.30E-19,1,RIA1,HH_005,Unspecified
Q1-42,9.52E-133,6.25E-120,2.80E-134,8.51E-126,0.000320024,2.16E-45,8.02E-200,1.25E-105,1.91E-236,0.999679976,1.35E-294,3.44E-292,10_Mossambicus,HH_035,Unspecified
Q1-420,5.16E-110,6.45E-99,1.07E-154,1.74E-114,3.09E-157,1.23E-89,6.80E-140,1.46E-102,2.58E-210,5.47E-193,7.25E-17,1,RIA1,HH_017,Unspecified
Q1-422,9.20E-242,9.24E-223,4.35E-232,7.86E-229,3.77E-05,1.08E-120,4.90E-298,7.75E-216,0,0.999962254,0,0,10_Mossambicus,HH_051,Unspecified
Q1-423,2.75E-243,3.33E-222,1.53E-234,1.39E-236,4.82E-13,1.54E-122,1.68E-307,4.81E-214,0,1,0,0,10_Mossambicus,HH_015,Unspecified
Q1-427,2.45E-243,1.55E-221,6.68E-234,6.55E-231,3.60E-12,8.99E-124,1.05E-301,2.70E-216,0,1,0,0,10_Mossambicus,HH_012,Unspecified
Q1-43,8.75E-248,1.59E-227,8.23E-238,3.94E-237,1.41E-14,9.11E-124,1.12178989853073e-314,1.55E-215,0,1,0,0,10_Mossambicus,HH_019,Unspecified
