"","MATINH","MAHUYEN","MAXA","KYDIEUTRA","M41_C5","M41_C6","M41_C71","M41_C72","M41_C73","M41_C74","M41_C75","M41_C75_GHIRO","M42_C1","M42_C2","M42_C3","M42_C4","M42_C5","M42_C6","M42_C7","M42_C8","M42_C9","M42_C13","M42_C141","M42_C142","M42_C143","M42_C144","M42_C144_GHIRO","M42_C151","M42_C152","M42_C153","M42_C154","M42_C154_GHIRO","M43_C1","M43_C2","M43_C3","M43_C41","M43_C42","M43_C43","M43_C44","M43_C45","M43_C45_GHIRO","M43_C91","M43_C92","M43_C93","M43_C9B01","M43_C9B02","M43_C9B03","M43_C9B04","M43_C9B05","M43_C9B06","M43_C9B07","M43_C9B08","M43_C9B09","M43_C9B10","M43_C9B11","M43_C9B11_GHIRO"
"50","12","109","03589",1,2,2,NA,NA,NA,NA,NA,"",1,2,1,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,348.08,2010,1,2,2,2,2,"",348.08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"51","14","118","03709",1,2,2,NA,NA,NA,NA,NA,"",2,NA,1,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,2222,2010,2,2,2,2,2,"",1500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"52","14","119","03751",1,2,2,NA,NA,NA,NA,NA,"",1,3,3,2,3,3,NA,3,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,938,2014,1,2,2,2,2,"",638,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"53","14","119","03799",1,2,2,NA,NA,NA,NA,NA,"",1,3,2,2,3,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,1405,2009,1,2,2,2,2,"",1051,0,354,1,2,2,1,2,2,2,2,2,2,2,""
"54","14","120","03835",1,2,2,NA,NA,NA,NA,NA,"",2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,1159,2012,2,2,2,2,2,"",824,0,335,2,2,2,1,2,2,2,2,2,2,2,""
"55","14","123","04030",1,3,3,NA,NA,NA,NA,NA,"",1,3,2,2,1,3,NA,3,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,2221.14,2011,1,2,2,2,2,"",1530.21,0,912.13,2,2,2,1,2,2,2,2,2,1,2,""
"56","14","128","04058",1,3,3,NA,NA,NA,NA,NA,"",1,3,1,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,1773.88,2015,1,2,2,2,2,"",0,2042,380.82,2,2,2,2,2,2,2,2,2,1,1,"cây gỗ dổi"
"57","14","124","04093",1,2,2,NA,NA,NA,NA,NA,"",1,3,2,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,4526.66,2009,1,1,2,2,2,"",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"58","14","125","04126",1,2,2,NA,NA,NA,NA,NA,"",1,3,3,2,1,3,NA,3,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,284.12,2011,2,2,2,2,2,"",228.61,0,55.51,2,2,2,2,2,2,2,2,2,1,2,""
"59","14","125","04138",1,1,2,NA,NA,NA,NA,NA,"",2,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,616.94,2011,2,2,2,2,2,"",410.04,0,206.9,2,2,2,1,2,2,2,2,2,1,2,""
"60","15","136","04378",1,2,2,NA,NA,NA,NA,NA,"",1,2,3,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"61","15","136","04414",1,2,2,NA,NA,NA,NA,NA,"",1,2,3,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"62","15","136","04420",1,2,2,NA,NA,NA,NA,NA,"",1,3,3,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"63","15","138","04519",1,2,2,NA,NA,NA,NA,NA,"",1,2,1,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"64","15","140","04699",1,3,3,NA,NA,NA,NA,NA,"",2,NA,1,2,3,3,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,1691.7,2011,2,2,2,1,1,"tổ cộng đồng",955.1,0,736.6,1,1,2,2,2,2,2,2,2,2,1,"bồ đề, mỡ"
"65","15","140","04705",1,2,2,NA,NA,NA,NA,NA,"",2,NA,1,2,3,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,3872.9,2011,2,2,2,2,1,"tổ cộng đồng",1965.1,0,1907.8,1,1,2,2,2,2,2,2,2,1,2,""
"66","15","141","04732",1,2,2,NA,NA,NA,NA,NA,"",1,3,1,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",1,411.5,2020,1,2,2,2,2,"",0,0,681.6,1,1,2,2,2,2,1,2,2,2,2,""
"67","17","153","04987",1,2,2,NA,NA,NA,NA,NA,"",2,NA,2,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"68","17","153","05068",1,2,2,NA,NA,NA,NA,NA,"",2,NA,2,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"69","17","153","05086",1,2,2,NA,NA,NA,NA,NA,"",2,NA,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"70","17","157","05305",1,2,2,NA,NA,NA,NA,NA,"",1,3,1,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"71","17","158","05389",1,2,2,NA,NA,NA,NA,NA,"",1,2,1,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"72","17","159","05398",1,2,2,NA,NA,NA,NA,NA,"",1,2,1,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"73","17","159","05428",1,2,2,NA,NA,NA,NA,NA,"",1,2,3,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"74","19","167","05599",1,2,2,NA,NA,NA,NA,NA,"",1,3,1,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"75","19","167","05605",1,3,3,NA,NA,NA,NA,NA,"",3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"76","19","168","05632",1,3,2,NA,NA,NA,NA,NA,"",1,2,1,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"77","19","170","05722",1,2,2,NA,NA,NA,NA,NA,"",1,3,3,2,3,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"78","19","172","05887",1,3,3,NA,NA,NA,NA,NA,"",3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"79","19","173","05917",1,2,2,NA,NA,NA,NA,NA,"",1,3,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"80","19","173","05929",1,2,2,NA,NA,NA,NA,NA,"",2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"81","20","180","06055",1,2,2,NA,NA,NA,NA,NA,"",1,3,3,1,1,1,3,1,5,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"82","20","183","06235",1,2,2,NA,NA,NA,NA,NA,"",1,3,1,1,1,3,NA,3,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
