"","MATINH","Province_name","Region","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","KYDIEUTRA","app_id","n_app","fert_type","fert_actual","formula","type_other","formula_n","formula_p","formula_k","fert_kg","area_unit","stage","count","id_ea","hh_formula","ea_formula","comm_formula","final_formula"
"71",8,"Tinh Tuyen Quang","2_NMMA",71,2299,12,7,2299012007,4,0,1,6,4,NA,"phân tổng hợp",NA,NA,NA,1,2,1,1,"2299012",NA,NA,NA,NA
"72",8,"Tinh Tuyen Quang","2_NMMA",71,2299,12,8,2299012008,4,0,1,6,4,NA,"phân tổng hợp",NA,NA,NA,1,2,1,1,"2299012",NA,NA,NA,NA
"73",8,"Tinh Tuyen Quang","2_NMMA",71,2302,4,1,2302004001,4,0,1,6,4,NA,"tổng hợp",NA,NA,NA,1,2,1,1,"2302004",NA,NA,NA,NA
"74",8,"Tinh Tuyen Quang","2_NMMA",71,2302,4,2,2302004002,4,0,2,6,4,NA,"tổng hợp",NA,NA,NA,1,2,1,2,"2302004",NA,NA,NA,NA
"75",8,"Tinh Tuyen Quang","2_NMMA",71,2302,4,2,2302004002,4,1,2,6,4,NA,"tổng hợp",NA,NA,NA,1,2,1,2,"2302004",NA,NA,NA,NA
"76",8,"Tinh Tuyen Quang","2_NMMA",71,2302,4,3,2302004003,4,0,1,6,4,NA,"tổng hợp",NA,NA,NA,1,2,1,1,"2302004",NA,NA,NA,NA
"77",8,"Tinh Tuyen Quang","2_NMMA",71,2302,4,4,2302004004,4,0,1,6,4,NA,"tổng hợp",NA,NA,NA,1,2,1,1,"2302004",NA,NA,NA,NA
"78",8,"Tinh Tuyen Quang","2_NMMA",71,2302,4,6,2302004006,4,0,1,6,4,NA,"tổng hợp",NA,NA,NA,1,2,1,1,"2302004",NA,NA,NA,NA
"79",8,"Tinh Tuyen Quang","2_NMMA",71,2302,4,7,2302004007,4,0,1,6,4,NA,"tổng hợp",NA,NA,NA,1,2,1,1,"2302004",NA,NA,NA,NA
"80",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,1,21739003001,4,0,3,6,4,NA,"Kali, npk, lân",NA,NA,NA,10,3,1,3,"21739003",NA,NA,NA,NA
"81",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,1,21739003001,4,1,3,6,4,NA,"npk, ure",NA,NA,NA,8,3,2,3,"21739003",NA,NA,NA,NA
"82",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,1,21739003001,4,2,3,6,4,NA,"npk, Kali, ure",NA,NA,NA,7,3,8,3,"21739003",NA,NA,NA,NA
"83",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,2,21739003002,4,0,3,6,4,NA,"npk, ure",NA,NA,NA,18,3,1,3,"21739003",NA,NA,NA,NA
"84",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,2,21739003002,4,1,3,6,4,NA,"npk, ure",NA,NA,NA,24,3,4,3,"21739003",NA,NA,NA,NA
"85",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,2,21739003002,4,2,3,6,4,NA,"npk, Kali, ure",NA,NA,NA,21,3,8,3,"21739003",NA,NA,NA,NA
"86",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,3,21739003003,4,0,3,6,4,NA,"npk, ure",NA,NA,NA,7,3,1,3,"21739003",NA,NA,NA,NA
"87",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,3,21739003003,4,1,3,6,4,NA,"npk, ure",NA,NA,NA,9,3,6,3,"21739003",NA,NA,NA,NA
"88",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,3,21739003003,4,2,3,6,4,NA,"npk, ure,kali",NA,NA,NA,8,3,8,3,"21739003",NA,NA,NA,NA
"89",52,"Tinh Binh Dinh","3_NCCCA",545,21739,3,4,21739003004,4,0,3,6,4,NA,"npk, ure",NA,NA,NA,6,3,1,3,"21739003",NA,NA,NA,NA
