"","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","KYDIEUTRA","water_source","other_source","laser","pipe","STT","stage","n_day","reason","sink_feet","count","n_drydown"
"131",4,48,1537,4,10,1537004010,1,4,NA,2,2,0,17,5,1,1,1,1
"132",4,48,1537,4,11,1537004011,1,4,NA,99,2,0,17,7,1,2,1,1
"133",4,48,1537,4,13,1537004013,1,4,NA,99,2,0,16,6,1,3,1,1
"134",4,48,1537,4,14,1537004014,1,5,"nuớc suối",2,NA,1,NA,NA,NA,NA,1,0
"135",4,48,1537,4,15,1537004015,1,4,NA,99,2,0,16,6,1,2,1,1
"136",4,51,1666,3,1,1666003001,1,5,"Nước khe suối",2,NA,0,2,2,1,4,3,3
"137",4,51,1666,3,1,1666003001,1,5,"Nước khe suối",2,NA,1,5,3,1,3,3,3
"138",4,51,1666,3,1,1666003001,1,5,"Nước khe suối",2,NA,2,18,3,1,2,3,3
"139",4,51,1666,3,2,1666003002,1,4,NA,2,2,1,NA,NA,NA,NA,1,0
"140",4,51,1666,3,3,1666003003,1,1,NA,2,NA,0,4,4,1,5,2,2
"141",4,51,1666,3,3,1666003003,1,1,NA,2,NA,1,11,4,1,3,2,2
"142",4,51,1666,3,4,1666003004,1,5,"nước khe suối",2,NA,0,8,6,1,6,2,2
"143",4,51,1666,3,4,1666003004,1,5,"nước khe suối",2,NA,1,15,10,1,3,2,2
"144",4,51,1666,3,5,1666003005,1,5,"Nước khe suối",2,NA,0,8,3,1,3,2,2
"145",4,51,1666,3,5,1666003005,1,5,"Nước khe suối",2,NA,1,5,2,1,3,2,2
"146",4,51,1666,3,6,1666003006,1,5,"nước mương",2,NA,1,NA,NA,NA,NA,1,0
"147",4,51,1666,3,7,1666003007,1,4,NA,2,2,0,3,3,1,5,2,2
"148",4,51,1666,3,7,1666003007,1,4,NA,2,2,1,9,4,1,5,2,2
"149",4,51,1666,3,8,1666003008,1,5,"nước khe suối",2,NA,0,6,5,3,5,2,2
"150",4,51,1666,3,8,1666003008,1,5,"nước khe suối",2,NA,1,14,10,3,3,2,2
"151",4,51,1666,3,9,1666003009,1,5,"nước khe suối",2,NA,0,2,3,1,4,3,3
"152",4,51,1666,3,9,1666003009,1,5,"nước khe suối",2,NA,1,2,3,1,3,3,3
"153",4,51,1666,3,9,1666003009,1,5,"nước khe suối",2,NA,2,9,4,1,2,3,3
"154",4,51,1666,3,10,1666003010,1,5,"Khe",2,NA,1,4,2,1,1,1,1
"155",4,51,1666,3,11,1666003011,1,4,NA,2,2,0,6,4,1,4,2,2
"156",4,51,1666,3,11,1666003011,1,4,NA,2,2,1,10,5,1,4,2,2
"157",4,51,1666,3,13,1666003013,1,5,"nước suối",2,NA,1,6,7,99,10,3,3
"158",4,51,1666,3,13,1666003013,1,5,"nước suối",2,NA,2,6,7,7,5,3,3
"159",4,51,1666,3,13,1666003013,1,5,"nước suối",2,NA,3,12,15,7,5,3,3
"160",4,51,1666,3,14,1666003014,1,4,NA,2,2,0,9,5,1,5,1,1
"161",4,51,1666,3,15,1666003015,1,5,"nước khe suối",2,NA,0,6,5,1,6,2,2
"162",4,51,1666,3,15,1666003015,1,5,"nước khe suối",2,NA,1,13,10,1,3,2,2
"163",4,51,1699,4,1,1699004001,1,5,"Nước mưa",2,NA,0,8,3,1,4,3,3
"164",4,51,1699,4,1,1699004001,1,5,"Nước mưa",2,NA,1,5,3,1,3,3,3
"165",4,51,1699,4,1,1699004001,1,5,"Nước mưa",2,NA,2,8,4,1,3,3,3
"166",4,51,1699,4,2,1699004002,1,4,NA,2,2,1,NA,NA,NA,NA,1,0
"167",4,51,1699,4,4,1699004004,1,5,"Nước mưa",2,NA,0,2,4,7,2,4,4
"168",4,51,1699,4,4,1699004004,1,5,"Nước mưa",2,NA,1,6,3,7,3,4,4
"169",4,51,1699,4,4,1699004004,1,5,"Nước mưa",2,NA,2,9,3,99,3,4,4
"170",4,51,1699,4,4,1699004004,1,5,"Nước mưa",2,NA,3,15,8,7,2,4,4
"171",4,51,1699,4,5,1699004005,1,5,"Nước mưa",2,NA,0,2,3,1,3,3,3
"172",4,51,1699,4,5,1699004005,1,5,"Nước mưa",2,NA,1,5,3,1,3,3,3
"173",4,51,1699,4,5,1699004005,1,5,"Nước mưa",2,NA,2,8,4,1,3,3,3
"174",4,51,1699,4,6,1699004006,1,3,NA,2,2,1,NA,NA,NA,NA,1,0
"175",4,51,1699,4,7,1699004007,1,5,"Nước mưa",2,NA,0,1,3,99,5,3,3
"176",4,51,1699,4,7,1699004007,1,5,"Nước mưa",2,NA,1,7,5,99,2,3,3
"177",4,51,1699,4,7,1699004007,1,5,"Nước mưa",2,NA,2,12,3,99,4,3,3
"178",4,51,1699,4,8,1699004008,1,5,"nước mưa",2,NA,0,6,5,6,5,3,3
"179",4,51,1699,4,8,1699004008,1,5,"nước mưa",2,NA,1,8,5,6,4,3,3
"180",4,51,1699,4,8,1699004008,1,5,"nước mưa",2,NA,2,16,7,6,3,3,3
"181",4,51,1699,4,9,1699004009,1,5,"Nước khe suối",2,NA,0,4,2,1,5,3,3
"182",4,51,1699,4,9,1699004009,1,5,"Nước khe suối",2,NA,1,9,2,1,3,3,3
"183",4,51,1699,4,9,1699004009,1,5,"Nước khe suối",2,NA,2,17,3,1,3,3,3
"184",4,51,1699,4,10,1699004010,1,4,NA,2,2,1,NA,NA,NA,NA,1,0
"185",4,51,1699,4,13,1699004013,1,4,NA,2,2,NA,NA,NA,NA,NA,1,0
"186",4,40,1705,13,1,1705013001,1,1,NA,2,NA,0,7,7,1,1,2,2
"187",4,40,1705,13,1,1705013001,1,1,NA,2,NA,1,16,7,1,1,2,2
"188",4,40,1705,13,2,1705013002,1,3,NA,2,2,0,7,7,1,1,2,2
"189",4,40,1705,13,2,1705013002,1,3,NA,2,2,1,16,7,1,1,2,2
"190",4,40,1705,13,3,1705013003,1,1,NA,2,NA,NA,NA,NA,NA,NA,1,0
"191",4,40,1705,13,4,1705013004,1,1,NA,2,NA,NA,NA,NA,NA,NA,1,0
"192",4,40,1705,13,5,1705013005,1,1,NA,2,NA,NA,NA,NA,NA,NA,1,0
"193",4,40,1705,13,7,1705013007,1,4,NA,2,2,NA,NA,NA,NA,NA,1,0
"194",4,40,1705,13,8,1705013008,1,1,NA,2,NA,0,7,7,1,1,2,2
"195",4,40,1705,13,8,1705013008,1,1,NA,2,NA,1,16,7,1,1,2,2
"196",4,40,1705,13,9,1705013009,1,1,NA,2,NA,0,9,7,1,1,2,2
"197",4,40,1705,13,9,1705013009,1,1,NA,2,NA,1,16,7,1,1,2,2
"198",4,40,1705,13,12,1705013012,1,1,NA,2,NA,NA,NA,NA,NA,NA,1,0
"199",4,40,1705,13,13,1705013013,1,1,NA,2,NA,NA,NA,NA,NA,NA,1,0
"200",4,40,1705,13,14,1705013014,1,1,NA,2,NA,NA,NA,NA,NA,NA,1,0
"201",4,40,1705,13,15,1705013015,1,1,NA,2,NA,0,7,7,1,1,2,2
"202",4,40,1705,13,15,1705013015,1,1,NA,2,NA,1,16,7,1,1,2,2
"203",4,52,1726,7,5,1726007005,1,5,"khó sử dụng",2,NA,1,NA,NA,NA,NA,1,0
"204",6,58,1849,5,1,1849005001,1,5,"kênh mương",99,NA,0,1,7,1,7,2,2
"205",6,58,1849,5,1,1849005001,1,5,"kênh mương",99,NA,1,16,10,1,6,2,2
"206",6,58,1849,5,2,1849005002,1,5,"kênh mương",2,NA,0,1,7,1,7,2,2
"207",6,58,1849,5,2,1849005002,1,5,"kênh mương",2,NA,1,16,10,1,99,2,2
"208",6,58,1849,5,4,1849005004,1,5,"kênh mương",99,NA,0,1,7,1,7,2,2
"209",6,58,1849,5,4,1849005004,1,5,"kênh mương",99,NA,1,15,10,1,5,2,2
"210",6,58,1849,5,5,1849005005,1,5,"kênh mương",2,NA,0,1,7,1,7,2,2
"211",6,58,1849,5,5,1849005005,1,5,"kênh mương",2,NA,1,16,10,1,8,2,2
"212",6,58,1849,5,6,1849005006,1,4,NA,2,2,0,5,8,2,5,2,2
"213",6,58,1849,5,6,1849005006,1,4,NA,2,2,1,15,15,2,0,2,2
"214",6,58,1849,5,7,1849005007,1,4,NA,2,2,0,3,10,1,3,2,2
"215",6,58,1849,5,7,1849005007,1,4,NA,2,2,1,15,15,1,0,2,2
"216",6,58,1849,5,9,1849005009,1,4,NA,2,2,0,6,10,1,4,2,2
"217",6,58,1849,5,9,1849005009,1,4,NA,2,2,1,17,15,1,0,2,2
"218",6,58,1849,5,10,1849005010,1,4,NA,99,2,0,3,10,2,2,2,2
"219",6,58,1849,5,10,1849005010,1,4,NA,99,2,1,17,15,2,0,2,2
"220",6,58,1849,5,12,1849005012,1,5,"sông suối",2,NA,NA,NA,NA,NA,NA,1,0
"221",6,58,1849,5,13,1849005013,1,4,NA,2,2,NA,NA,NA,NA,NA,1,0
"222",6,61,1912,7,1,1912007001,1,5,"mương tự chảy",2,NA,0,5,7,1,40,2,2
"223",6,61,1912,7,1,1912007001,1,5,"mương tự chảy",2,NA,1,17,20,1,40,2,2
"224",6,61,1912,7,2,1912007002,1,5,"mương tự chảy",2,NA,0,5,7,1,20,2,2
"225",6,61,1912,7,2,1912007002,1,5,"mương tự chảy",2,NA,1,17,15,1,2,2,2
"226",6,61,1912,7,3,1912007003,1,5,"mương tự chảy",2,NA,0,5,7,1,15,2,2
"227",6,61,1912,7,3,1912007003,1,5,"mương tự chảy",2,NA,1,17,20,1,3,2,2
"228",6,61,1912,7,4,1912007004,1,4,NA,2,2,0,17,20,5,0,1,1
"229",6,61,1912,7,5,1912007005,1,5,"mương tự chảy",2,NA,0,5,7,1,20,2,2
"230",6,61,1912,7,5,1912007005,1,5,"mương tự chảy",2,NA,1,17,20,1,2,2,2
"231",6,61,1912,7,6,1912007006,1,3,NA,2,2,0,17,20,1,1,1,1
"232",6,61,1912,7,7,1912007007,1,5,"mương tự chảy",2,NA,0,17,18,1,3,1,1
"233",6,61,1912,7,8,1912007008,1,5,"mương tự chảy",2,NA,0,5,7,1,2,2,2
"234",6,61,1912,7,8,1912007008,1,5,"mương tự chảy",2,NA,1,17,20,1,2,2,2
"235",6,61,1912,7,9,1912007009,1,3,NA,99,2,0,3,4,1,99,2,2
"236",6,61,1912,7,9,1912007009,1,3,NA,99,2,1,15,15,1,99,2,2
"237",6,61,1912,7,10,1912007010,1,3,NA,2,2,0,3,5,1,99,2,2
"238",6,61,1912,7,10,1912007010,1,3,NA,2,2,1,13,20,1,99,2,2
"239",6,61,1912,7,11,1912007011,1,3,NA,2,2,0,1,6,1,99,2,2
"240",6,61,1912,7,11,1912007011,1,3,NA,2,2,1,13,20,1,99,2,2
"241",6,61,1912,7,12,1912007012,1,3,NA,2,2,0,3,6,1,99,2,2
"242",6,61,1912,7,12,1912007012,1,3,NA,2,2,1,16,20,1,99,2,2
"243",6,61,1912,7,13,1912007013,1,5,"mương tự chảy",2,NA,0,17,15,1,2,1,1
"244",6,61,1912,7,15,1912007015,1,5,"mương tự chảy",1,NA,0,5,6,1,20,2,2
"245",6,61,1912,7,15,1912007015,1,5,"mương tự chảy",1,NA,1,17,16,1,2,2,2
"246",6,64,2035,3,1,2035003001,1,5,"nguồn tự chảy",99,NA,0,18,18,1,1,1,1
