"","MATINH","Province_name","Region","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","KYDIEUTRA","app_id","n_app","fert_type","type_other","formula_n","formula_p","formula_k","fert_kg","area_unit","stage","count"
"119",4,"Tinh Cao Bang","2_NMMA",43,1321,11,3,1321011003,1,0,2,4,NA,20,20,15,0.05,1,0,2
"120",4,"Tinh Cao Bang","2_NMMA",43,1321,11,3,1321011003,1,1,2,1,NA,46,0,0,0.12,1,4,2
"121",4,"Tinh Cao Bang","2_NMMA",43,1321,11,4,1321011004,1,0,2,4,NA,20,20,15,0.03,1,1,2
"122",4,"Tinh Cao Bang","2_NMMA",43,1321,11,4,1321011004,1,1,2,1,NA,60,0,0,0.05,1,5,2
"123",4,"Tinh Cao Bang","2_NMMA",43,1321,11,6,1321011006,1,0,1,4,NA,20,20,15,75,1,10,1
"124",4,"Tinh Cao Bang","2_NMMA",43,1321,11,7,1321011007,1,0,1,4,NA,20,20,15,50,1,3,1
"125",4,"Tinh Cao Bang","2_NMMA",43,1321,11,8,1321011008,1,0,2,4,NA,20,20,15,75,1,11,2
"126",4,"Tinh Cao Bang","2_NMMA",43,1321,11,8,1321011008,1,1,2,1,NA,21,0,0,25,1,7,2
"127",4,"Tinh Cao Bang","2_NMMA",43,1321,11,9,1321011009,1,0,1,4,NA,20,20,15,50,1,0,1
"128",4,"Tinh Cao Bang","2_NMMA",43,1321,11,10,1321011010,1,0,1,4,NA,20,20,15,50,1,0,1
"129",4,"Tinh Cao Bang","2_NMMA",43,1321,11,11,1321011011,1,0,2,4,NA,20,20,15,100,1,0,2
"130",4,"Tinh Cao Bang","2_NMMA",43,1321,11,11,1321011011,1,1,2,1,NA,46,0,0,50,1,10,2
"131",4,"Tinh Cao Bang","2_NMMA",43,1321,11,13,1321011013,1,0,1,4,NA,8,10,3,50,1,0,1
"132",4,"Tinh Cao Bang","2_NMMA",47,1498,4,1,1498004001,1,0,1,1,NA,20,8,46,0.1,1,6,1
"133",4,"Tinh Cao Bang","2_NMMA",47,1498,4,2,1498004002,1,0,1,1,NA,20,46,8,0.1,1,2,1
"134",4,"Tinh Cao Bang","2_NMMA",47,1498,4,3,1498004003,1,NA,0,NA,NA,NA,NA,NA,NA,2,NA,1
"135",4,"Tinh Cao Bang","2_NMMA",47,1498,4,5,1498004005,1,0,1,1,NA,46,0,0,30,1,4,1
"136",4,"Tinh Cao Bang","2_NMMA",47,1498,4,6,1498004006,1,0,1,1,NA,46,0,0,30,1,3,1
"137",4,"Tinh Cao Bang","2_NMMA",47,1498,4,7,1498004007,1,0,2,1,NA,46,0,0,20,1,2,2
"138",4,"Tinh Cao Bang","2_NMMA",47,1498,4,7,1498004007,1,1,2,1,NA,46,0,0,30,1,7,2
"139",4,"Tinh Cao Bang","2_NMMA",47,1498,4,8,1498004008,1,0,2,1,NA,46,0,0,25,1,5,2
"140",4,"Tinh Cao Bang","2_NMMA",47,1498,4,8,1498004008,1,1,2,4,NA,20,20,15,25,1,10,2
"141",4,"Tinh Cao Bang","2_NMMA",47,1498,4,9,1498004009,1,0,2,1,NA,46,0,0,15,1,2,2
"142",4,"Tinh Cao Bang","2_NMMA",47,1498,4,9,1498004009,1,1,2,1,NA,46,0,0,20,0,5,2
"143",4,"Tinh Cao Bang","2_NMMA",47,1498,4,10,1498004010,1,0,2,1,NA,46,0,0,25,1,5,2
"144",4,"Tinh Cao Bang","2_NMMA",47,1498,4,10,1498004010,1,1,2,2,NA,NA,NA,NA,40,1,10,2
"145",4,"Tinh Cao Bang","2_NMMA",47,1498,4,11,1498004011,1,0,2,1,NA,46,0,0,60,1,4,2
"146",4,"Tinh Cao Bang","2_NMMA",47,1498,4,11,1498004011,1,1,2,4,NA,20,20,15,50,1,9,2
"147",4,"Tinh Cao Bang","2_NMMA",47,1498,4,12,1498004012,1,0,1,1,NA,20,46,21,20,2,0,1
"148",4,"Tinh Cao Bang","2_NMMA",47,1498,4,13,1498004013,1,0,1,1,NA,46,0,0,25,1,4,1
