"","MATINH","MAHUYEN","MAXA","MADIABAN","IDHO","KYDIEUTRA","store_method","harvest_combine","harvest_strawbaler","harvest_manual","harvest_other","timing","moisture","dry_method","n_app_drug","n_app_insect_fungi","n_insecticide","n_fungicide","n_app_fert","sum_fert","water_source","pipe","n_drydown","ws_method","ws_area_unit","ws_rate_ha","certified","rice_name","Province_name","Region","HOSO","DANTOCCHUHO","THUNHAP","TONGCHITIEU","M8_C1","dummy_1m","dummy_1r","dummy_1m1r","dummy_2r_fert","dummy_2r_n_app","dummy_1m2r","dummy_3r_n_app","dummy_3r_insect_1app","dummy_3r_fungi_2app","dummy_3r_insect_final","dummy_3r_fungi_final","dummy_1m3r","dummy_4r","dummy_1m4r","dummy_5r","dummy_1m5r"
"67",4,42,1318,9,1318009010,1,2,0,0,1,0,2,2,2,0,0,0,0,1,0,4,2,0,5,"Sao Bac Bo (360m2)",2.77777777777778,99,"đại thơm","Tinh Cao Bang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0,0
"68",4,42,1318,9,1318009011,1,2,0,0,1,0,2,2,2,0,0,0,0,1,0,4,2,0,5,"Sao Bac Bo (360m2)",2.77777777777778,2,"đại thơm","Tinh Cao Bang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,0,0,0,0,0
"69",4,42,1318,9,1318009012,1,2,0,0,1,0,3,1,3,2,1,1,0,1,600,4,2,1,5,"Sao Bac Bo (360m2)",8.33333333333333,1,"838","Tinh Cao Bang","2_NMMA",NA,NA,NA,NA,NA,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0
"70",4,42,1318,9,1318009013,1,2,0,0,1,0,3,1,3,1,1,1,0,1,0,4,2,1,5,"Sao Bac Bo (360m2)",11.1111111111111,2,"838","Tinh Cao Bang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0
"71",4,42,1318,9,1318009014,1,2,0,0,1,0,3,1,3,2,1,1,0,1,0,4,2,1,5,"Sao Bac Bo (360m2)",8.33333333333333,2,"838","Tinh Cao Bang","2_NMMA",NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0
"72",4,42,1318,9,1318009015,1,2,0,0,1,0,3,1,3,1,1,1,0,1,0,4,2,1,5,"Sao Bac Bo (360m2)",8.33333333333333,1,"838","Tinh Cao Bang","2_NMMA",NA,NA,NA,NA,NA,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0
"73",4,43,1321,11,1321011002,1,3,0,0,1,0,3,1,3,0,0,0,0,1,46,5,NA,2,5,"m2",0,1,"nhị ưu","Tinh Cao Bang","2_NMMA","2",2,348192,0,3,1,1,1,1,0,0,1,1,1,NA,NA,0,0,0,0,0
"74",4,43,1321,11,1321011003,1,2,0,0,1,0,3,1,2,0,0,0,0,2,652,5,NA,3,1,"m2",0,1,"nhị ưu","Tinh Cao Bang","2_NMMA","3",2,33746,0,3,1,1,1,0,0,0,1,1,1,NA,NA,0,0,0,0,0
"75",4,43,1321,11,1321011004,1,3,0,0,1,0,3,1,3,0,0,0,0,2,360,5,NA,2,5,"m2",0,1,"838","Tinh Cao Bang","2_NMMA","4",2,77543,0,3,1,1,1,0,0,0,1,1,1,NA,NA,0,0,0,0,0
"76",4,43,1321,11,1321011006,1,2,0,0,1,0,2,2,2,2,1,1,0,1,150000,4,2,1,5,NA,172.413793103448,2,"tam nông","Tinh Cao Bang","2_NMMA","6",2,81889,0,3,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
