MATINH,IDHO,MAHUYEN,MAXA,MADIABAN,HOSO,breeding_main_variety,Correct_name.DNA2,breeding_seed_origin,breeding_seed_duration,Decision,Convergence.on.Year,IRRI_Parentage,Saltol,qSub1,breeding_certified_seed,KYDIEUTRA,mech_mini_combiner,mech_combine_harvester,mech_straw_baler,mech_row_seeder,mech_seed_blower,straw_burn,straw_incorporated_soil,straw_mulching,straw_other,straw_remove_completely,straw_remove_partly,straw_rm_compost,straw_rm_cooking,straw_rm_livestock,straw_rm_mushroom,straw_rm_other,straw_rm_sold,panel,weight_final_rice,weight_rice_DNA,THUNHAP,TONGCHITIEU,ethnic,rls_head,age,edu_grade,n_member,male,female,internet,land_area_sum,poor_commune,dummy_main_str,dist_main_str,type_main_str,dummy_local_market_wholesale,dist_market_wholesale,dummy_ext_center,dist_ext_center,farmer_participation_pct,dummy_protection_staff,main_str_asphalt,IRRI_Parentage_edited,Quintiles,Bottom_20,Bottom_40,Sub1
51,21523017005,535,21523,017,005,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2022,430.638107742507,,37081,,1,1,25,3,3,1,0,0,3500,1,1,,1,0,73,0,13,,1,1,0,,,,
51,21523017007,535,21523,017,007,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2022,430.638107742507,,72936,31607,1,1,29,12,2,1,0,1,11000,1,1,,1,0,73,0,13,,1,1,0,1,1,1,
51,21523017008,535,21523,017,008,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,430.638107742507,,34223,,1,1,43,,4,1,0,0,25500,1,1,,1,0,73,0,13,,1,1,0,,,,
51,21523017010,535,21523,017,010,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,430.638107742507,,30193,,1,1,68,,2,0,1,0,1000,1,1,,1,0,73,0,13,,1,1,0,,,,
51,21523017011,535,21523,017,011,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2022,430.638107742507,,78696,,1,1,29,12,3,1,0,1,10500,1,1,,1,0,73,0,13,,1,1,0,,,,
51,21523017012,535,21523,017,012,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2022,430.638107742507,,54937,38739,1,1,35,11,3,1,0,0,26500,1,1,,1,0,73,0,13,,1,1,0,1,1,1,
51,21523017013,535,21523,017,013,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,430.638107742507,,48526,,1,1,33,3,4,1,0,1,11000,1,1,,1,0,73,0,13,,1,1,0,,,,
51,21523017014,535,21523,017,014,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,430.638107742507,,46982,,1,1,57,,3,1,0,0,2000,1,1,,1,0,73,0,13,,1,1,0,,,,
51,21523017015,535,21523,017,015,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,430.638107742507,,31177,,1,1,55,,2,1,0,0,12000,1,1,,1,0,73,0,13,,1,1,0,,,,
52,21553001005,540,21553,001,005,,,,,,,,,,,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2022,347.674921803883,,127044,,0,1,71,11,3,1,0,1,4500,,,,,,5,,5,,,,0,,,,
52,21553001006,540,21553,001,006,,,,,,,,,,,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2022,347.674921803883,,224220,,0,1,43,7,5,1,0,1,750,,,,,,5,,5,,,,0,,,,
52,21553001008,540,21553,001,008,,,,,,,,,,,5,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,347.674921803883,,133201,,0,1,43,9,4,1,0,1,750,,,,,,5,,5,,,,0,,,,
52,21553001010,540,21553,001,010,,,,,,,,,,,5,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2022,347.674921803883,,187801,,0,1,52,9,5,0,1,1,5500,,,,,,5,,5,,,,0,,,,
52,21553001014,540,21553,001,014,,,,,,,,,,,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2022,347.674921803883,,403487,117287.5,0,1,49,4,4,1,0,0,1500,,,,,,5,,5,,,,0,5,0,0,
52,21553001016,540,21553,001,016,,,,,,,,,,,5,0,1,0,0,0,1,0,0,0,0,0,,,,,,,2022,347.674921803883,,169585,,0,1,47,9,4,1,0,1,1000,,,,,,5,,5,,,,0,,,,
