"","IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","STT","M4B51A_C6","M4B51A_C7","M4B51A_C8","M4B51A_C9","M4B51A_C9_GHIRO","M4B51A_C10","M4B51A_C11"
"185","32245003001","96","973","32245","003","001",1,0,1,2000,1.5,1,NA,2,2
"186","32245003003","96","973","32245","003","003",1,0,1,46000,1.2,1,NA,2,2
"187","32245003010","96","973","32245","003","010",1,0,1,26000,1.2,1,NA,2,2
"188","32245003011","96","973","32245","003","011",1,0,1,22000,1.2,1,NA,2,2
"189","32245003015","96","973","32245","003","015",1,0,1,26000,1.2,1,NA,2,2
"190","32245003019","96","973","32245","003","019",1,0,1,55000,1.4,1,NA,2,2
"191","02500005005","08","075","02500","005","005",4,0,1,720,2.5,1,"",2,2
"192","02530008010","08","075","02530","008","010",4,0,1,240,1.5,2,"",2,2
"193","04780001012","15","141","04780","001","012",4,0,1,1000,1.5,1,"",2,2
"194","07921002013","25","227","07921","002","013",4,0,1,3600,3,1,"",2,2
"195","11587012001","31","312","11587","012","001",4,0,1,1000,1.5,1,"",2,2
"196","31807009005","94","950","31807","009","005",4,0,1,77,2.5,3,"",2,2
"197","31807009005","94","950","31807","009","005",4,1,1,77,2.5,3,"",2,2
"198","31810006009","94","950","31810","006","009",4,0,1,120,2.5,3,"",2,2
"199","31810006009","94","950","31810","006","009",4,1,1,120,2.5,3,"",2,2
"200","32053034001","96","966","32053","034","001",4,0,3,19440,0.4,3,"",2,2
"201","32053034002","96","966","32053","034","002",4,1,3,12000,0.6,1,"",4,2
"202","32053034003","96","966","32053","034","003",4,0,1,12960,0.5,1,"",2,2
"203","32053034004","96","966","32053","034","004",4,1,3,15000,0.5,1,"",4,2
"204","32053034005","96","966","32053","034","005",4,0,1,18144,0.5,1,"",2,2
"205","32053034006","96","966","32053","034","006",4,0,1,38880,0.5,1,"",2,2
"206","32053034007","96","966","32053","034","007",4,1,3,10000,0.6,1,"",4,2
"207","32053034008","96","966","32053","034","008",4,0,1,500,1.5,1,"",2,2
"208","32053034010","96","966","32053","034","010",4,0,1,19440,0.4,1,"",2,2
"209","32053034011","96","966","32053","034","011",4,1,3,1000,0.5,1,"",4,2
"210","32053034012","96","966","32053","034","012",4,0,1,25000,0.5,1,"",2,2
"211","32053034014","96","966","32053","034","014",4,0,1,6480,0.4,1,"",2,2
"212","32053034015","96","966","32053","034","015",4,1,3,40000,0.5,1,"",4,2
"213","32074007003","96","967","32074","007","003",4,0,1,6480,0.5,1,"",3,2
"214","32074007004","96","967","32074","007","004",4,0,1,6480,0.4,1,"",3,2
"215","32074007006","96","967","32074","007","006",4,0,1,6480,0.4,1,"",3,2
"216","32074007008","96","967","32074","007","008",4,0,1,6480,0.3,1,"",3,2
"217","32074007009","96","967","32074","007","009",4,0,1,32400,0.7,1,"",3,2
"218","32074007011","96","967","32074","007","011",4,0,1,19440,0.5,1,"",3,2
"219","32074007013","96","967","32074","007","013",4,0,1,12960,0.5,1,"",3,2
"220","32092013001","96","967","32092","013","001",4,0,1,10000,0.3,1,"",3,2
"221","32092013005","96","967","32092","013","005",4,0,1,8424,0.4,1,"",3,2
"222","32092013006","96","967","32092","013","006",4,0,1,30000,0.5,1,"",3,2
"223","32092013008","96","967","32092","013","008",4,0,1,1000,0.8,1,"",3,2
"224","32092013009","96","967","32092","013","009",4,0,1,5184,0.4,1,"",3,2
"225","32092013010","96","967","32092","013","010",4,0,1,9072,0.5,1,"",3,2
"226","32092013012","96","967","32092","013","012",4,0,1,5184,1,1,"",3,2
"227","32092013016","96","967","32092","013","016",4,0,1,31840,0.4,1,"",3,2
"228","32092013016","96","967","32092","013","016",4,1,1,20000,0.5,1,"",3,2
"229","32146019001","96","969","32146","019","001",4,0,3,4000,1.5,1,"",2,2
"230","32146019002","96","969","32146","019","002",4,0,3,8000,1.3,1,"",2,2
"231","32146019003","96","969","32146","019","003",4,0,3,25000,1.3,1,"",2,2
"232","32146019004","96","969","32146","019","004",4,0,3,13000,1.2,1,"",4,2
"233","32146019005","96","969","32146","019","005",4,0,3,9000,1.2,1,"",2,2
"234","32146019006","96","969","32146","019","006",4,0,3,11000,1.5,1,"",2,2
"235","32146019007","96","969","32146","019","007",4,0,3,5000,1.2,1,"",2,2
"236","32146019008","96","969","32146","019","008",4,0,3,3000,1.2,1,"",2,2
"237","32146019009","96","969","32146","019","009",4,0,3,4500,1.5,1,"",2,2
"238","32146019010","96","969","32146","019","010",4,0,3,20700,1.2,1,"",2,2
"239","32146019012","96","969","32146","019","012",4,0,3,2000,1.3,1,"",2,2
"240","32146019014","96","969","32146","019","014",4,0,3,5200,1.25,1,"",2,2
"241","32146019018","96","969","32146","019","018",4,0,3,3000,1.2,1,"",2,2
"242","32215015002","96","972","32215","015","002",4,0,3,10000,0.8,1,"",2,2
"243","32215015003","96","972","32215","015","003",4,0,1,14000,0.8,1,"",2,2
"244","32215015004","96","972","32215","015","004",4,0,1,9000,0.7,1,"",2,2
"245","32215015005","96","972","32215","015","005",4,0,1,25000,0.9,1,"",2,2
"246","32215015006","96","972","32215","015","006",4,0,1,26000,0.9,1,"",2,2
"247","32215015007","96","972","32215","015","007",4,0,1,10000,0.8,1,"",2,2
"248","32215015008","96","972","32215","015","008",4,0,1,1300,0.8,1,"",2,2
"249","32215015009","96","972","32215","015","009",4,0,3,22000,0.8,1,"",2,2
"250","32215015010","96","972","32215","015","010",4,0,3,15000,0.9,1,"",2,2
"251","32215015011","96","972","32215","015","011",4,0,3,25000,0.9,1,"",2,2
"252","32215015014","96","972","32215","015","014",4,0,3,16000,0.8,1,"",2,2
