"","MATINH","ID","X","IDHO","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B12A1_C0A","M4B12A1_C0B","M4B12A1_C0C","M4B12A1_C0D","M4B12A2_C1","M4B12A2_C1A","M4B12A2_C1A_GHIRO","M4B12A3_TENTR","M4B12A3_C2","M4B12A3_C3","M4B12A3_C4","M4B12A3_C5","M4B12A3_C6","M4B12A3_C6_GHIRO","M4B12A3_C7","M4B12A3_C8","M4B12A3_C91","M4B12A3_C92","M4B12A3_C93","M4B12A3_C94","M4B12A3_C95","M4B12A3_C10D","M4B12A3_C10M","M4B12A3_C11","M4B12A4_C1","M4B12A4_KD","M4B12A4_VD","M4B12A1_MA","M4B12A1_C1","M4B12A1_C1_GHIRO","M4B12A1_C2","M4B12A1_C3","M4B12A1_C4","M4B12A1_C5","M4B12A1_C6","Province_name","Region"
"58",8,"8-73-2326001017",1291,2326001017,73,2326,1,17,4,2,2,2,1,1,NA,"","KHUỔI TỐM",1,1,"Sắn",1,6,"",2,2,1,2,1,2,1,4,11,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tuyen Quang","NMMA"
"59",8,"8-75-2446001009",439,2446001009,75,2446,1,9,2,1,2,2,2,1,NA,NA,"ĐỒI NHÀ",1,1,"cao sản",2,6,NA,4,2,1,1,1,2,1,14,5,132,NA,NA,NA,1,1,NA,"99",2446,3,NA,700,"Tuyen Quang","NMMA"
"60",8,"8-75-2452009005",440,2452009005,75,2452,9,5,2,1,2,2,2,1,NA,NA,"VƯỜN NHÀ",1,1,"sắn trắng cao sản",2,5,NA,2,2,1,1,1,2,1,11,5,140,NA,NA,NA,1,1,NA,"99",2434,2,NA,4000,"Tuyen Quang","NMMA"
"61",8,"8-75-2452009009",442,2452009009,75,2452,9,9,2,1,2,2,2,1,NA,NA,"ĐỒI NHÀ",1,1,"tăng sản",2,6,NA,3,2,1,1,1,2,1,14,5,123,NA,NA,NA,1,5,"xưởng chế biến","xưởng chế biến tô văn phong",2452,3,NA,34020,"Tuyen Quang","NMMA"
"62",8,"8-71-2233006013",1280,2233006013,71,2233,6,13,4,2,2,2,1,1,NA,"","BẢN THÀNG",1,1,"sắn xanh",2,6,"",5,2,2,2,1,2,1,3,11,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tuyen Quang","NMMA"
"63",8,"8-75-2464011010",445,2464011010,75,2464,11,10,2,1,2,2,2,1,NA,NA,"THỬA 1",1,1,"sắn cao sản",99,6,NA,3,2,1,1,1,1,1,16,5,137,NA,NA,NA,1,3,NA,"99",2464,3,NA,8000,"Tuyen Quang","NMMA"
"64",8,"8-76-2605010003",46,2605010003,76,2605,10,3,3,2,2,2,1,1,NA,"","ĐỒI NHÀ",1,1,"lá tre",1,6,"",5,2,1,1,1,2,1,10,8,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tuyen Quang","NMMA"
"65",8,"8-76-2605010007",47,2605010007,76,2605,10,7,3,2,2,2,1,1,NA,"","TRONG RỪNG",1,1,"sắn lá tre",2,6,"",3,2,1,1,1,2,2,10,8,902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tuyen Quang","NMMA"
"66",8,"8-76-2623007005",50,2623007005,76,2623,7,5,3,2,2,2,1,1,NA,"","GẦN NHÀ",1,1,"sắn lai tre",2,6,"",1,2,1,2,1,2,2,7,8,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tuyen Quang","NMMA"
"67",8,"8-76-2623007009",48,2623007009,76,2623,7,9,3,1,2,2,2,1,NA,"","ĐỒI NHÀ",1,1,"sắn lá tre",1,6,"",5,2,1,1,1,1,1,7,8,118,NA,NA,NA,1,1,"","99",2623,5,NA,64000,"Tuyen Quang","NMMA"
"68",8,"8-75-2452009014",443,2452009014,75,2452,9,14,2,1,2,2,2,1,NA,NA,"THÁI NINH",1,1,"sắn lá tre",1,6,NA,10,2,2,2,2,2,1,12,5,139,NA,NA,NA,1,1,NA,"99",2452,1,NA,44400,"Tuyen Quang","NMMA"
"69",10,"10-82-2686007012",449,2686007012,82,2686,7,12,2,1,2,2,2,1,NA,NA,"NGẢI TRỒ",1,1,"cao sản",2,5,NA,2,2,1,1,2,2,1,9,5,178,NA,NA,NA,1,2,NA,"99",2686,2,NA,2500,"Lao Cai","NMMA"
