"MATINH","province_name","MAHUYEN","district_name","MAXA","commune_name","n_rice_hh"
"01","Ha Noi","272","Phuc Tho","09745","Long Xuyen",1186
"01","Ha Noi","272","Phuc Tho","09748","Thuong Coc",913
"01","Ha Noi","272","Phuc Tho","09751","Hat Mon",1473
"01","Ha Noi","272","Phuc Tho","09754","Tich Giang",1297
"01","Ha Noi","272","Phuc Tho","09757","Thanh Da",1002
"01","Ha Noi","272","Phuc Tho","09760","Trach My Loc",1257
"01","Ha Noi","272","Phuc Tho","09763","Phuc Hoa",1083
"01","Ha Noi","272","Phuc Tho","09766","Ngoc Tao",1304
"01","Ha Noi","272","Phuc Tho","09769","Phung Thuong",2276
"01","Ha Noi","272","Phuc Tho","09772","Tam Thuan",964
"01","Ha Noi","272","Phuc Tho","09775","Tam Hiep",531
"01","Ha Noi","272","Phuc Tho","09778","Hiep Thuan",1634
"01","Ha Noi","272","Phuc Tho","09781","Lien Hiep",1675
"01","Ha Noi","273","Dan Phuong","09784","Phung",221
"01","Ha Noi","273","Dan Phuong","09787","Trung Chau",4
"01","Ha Noi","273","Dan Phuong","09790","Tho An",912
"01","Ha Noi","273","Dan Phuong","09793","Tho Xuan",512
"01","Ha Noi","273","Dan Phuong","09796","Hong Ha",1921
"01","Ha Noi","273","Dan Phuong","09799","Lien Hong",1173
"01","Ha Noi","273","Dan Phuong","09802","Lien Ha",914
"01","Ha Noi","273","Dan Phuong","09805","Ha Mo",537
"01","Ha Noi","273","Dan Phuong","09808","Lien Trung",401
"01","Ha Noi","273","Dan Phuong","09811","Phuong Dinh",1932
"01","Ha Noi","273","Dan Phuong","09814","Thuong Mo",1481
"01","Ha Noi","273","Dan Phuong","09817","Tan Hoi",1732
"01","Ha Noi","273","Dan Phuong","09820","Tan Lap",1077
"01","Ha Noi","273","Dan Phuong","09823","Dan Phuong",685
"01","Ha Noi","273","Dan Phuong","09826","Dong Thap",414
"01","Ha Noi","273","Dan Phuong","09829","Song Phuong",69
