"MATINH","province_name","MAHUYEN","district_name","MAXA","commune_name","n_coffee_hh"
"01","Ha Noi","273","Dan Phuong","09829","Song Phuong",0
"01","Ha Noi","274","Hoai Duc","09832","Tram Troi",0
"01","Ha Noi","274","Hoai Duc","09835","Duc Thuong",0
"01","Ha Noi","274","Hoai Duc","09838","Minh Khai",1
"01","Ha Noi","274","Hoai Duc","09841","Duong Lieu",0
"01","Ha Noi","274","Hoai Duc","09844","Di Trach",0
"01","Ha Noi","274","Hoai Duc","09847","Duc Giang",0
"01","Ha Noi","274","Hoai Duc","09850","Cat Que",3
"01","Ha Noi","274","Hoai Duc","09853","Kim Chung",0
"01","Ha Noi","274","Hoai Duc","09856","Yen So",0
"01","Ha Noi","274","Hoai Duc","09859","Son Dong",0
"01","Ha Noi","274","Hoai Duc","09862","Van Canh",0
"01","Ha Noi","274","Hoai Duc","09865","Dac So",0
"01","Ha Noi","274","Hoai Duc","09868","Lai Yen",0
"01","Ha Noi","274","Hoai Duc","09871","Tien Yen",0
"01","Ha Noi","274","Hoai Duc","09874","Song Phuong",0
"01","Ha Noi","274","Hoai Duc","09877","An Khanh",0
"01","Ha Noi","274","Hoai Duc","09880","An Thuong",0
"01","Ha Noi","274","Hoai Duc","09883","Van Con",0
"01","Ha Noi","274","Hoai Duc","09889","La Phu",0
"01","Ha Noi","274","Hoai Duc","09892","Dong La",1
"01","Ha Noi","275","Quoc Oai","04939","Dong Xuan",0
"01","Ha Noi","275","Quoc Oai","09895","Quoc Oai",0
"01","Ha Noi","275","Quoc Oai","09898","Sai Son",0
"01","Ha Noi","275","Quoc Oai","09901","Phuong Cach",0
"01","Ha Noi","275","Quoc Oai","09904","Yen Son",0
"01","Ha Noi","275","Quoc Oai","09907","Ngoc Liep",0
"01","Ha Noi","275","Quoc Oai","09910","Ngoc My",0
"01","Ha Noi","275","Quoc Oai","09913","Liep Tuyet",0
"01","Ha Noi","275","Quoc Oai","09916","Thach Than",0
"01","Ha Noi","275","Quoc Oai","09919","Dong Quang",0
"01","Ha Noi","275","Quoc Oai","09922","Phu Cat",0
"01","Ha Noi","275","Quoc Oai","09925","Tuyet Nghia",0
"01","Ha Noi","275","Quoc Oai","09928","Nghia Huong",0
"01","Ha Noi","275","Quoc Oai","09931","Cong Hoa",0
"01","Ha Noi","275","Quoc Oai","09934","Tan Phu",0
"01","Ha Noi","275","Quoc Oai","09937","Dai Thanh",0
"01","Ha Noi","275","Quoc Oai","09940","Phu Man",0
"01","Ha Noi","275","Quoc Oai","09943","Can Huu",0
"01","Ha Noi","275","Quoc Oai","09946","Tan Hoa",0
"01","Ha Noi","275","Quoc Oai","09949","Hoa Thach",0
"01","Ha Noi","275","Quoc Oai","09952","Dong Yen",0
"01","Ha Noi","276","Thach That","04927","Yen Trung",0
"01","Ha Noi","276","Thach That","04930","Yen Binh",0
"01","Ha Noi","276","Thach That","04936","Tien Xuan",0
"01","Ha Noi","276","Thach That","09955","Lien Quan",0
"01","Ha Noi","276","Thach That","09958","Dai Dong",0
"01","Ha Noi","276","Thach That","09961","Cam Yen",0
