"MATINH","province_name","MAHUYEN","district_name","MAXA","commune_name","n_hh"
"01","Ha Noi","020","Thanh Tri","00685","Dong My","2784"
"01","Ha Noi","021","Bac Tu Liem","00595","Thuong Cat","2367"
"01","Ha Noi","021","Bac Tu Liem","00598","Lien Mac","2882"
"01","Ha Noi","021","Bac Tu Liem","00601","Dong Ngac","7285"
"01","Ha Noi","021","Bac Tu Liem","00602","Duc Thang","7488"
"01","Ha Noi","021","Bac Tu Liem","00604","Thuy Phuong","4039"
"01","Ha Noi","021","Bac Tu Liem","00607","Tay Tuu","5857"
"01","Ha Noi","021","Bac Tu Liem","00610","Xuan Dinh","12140"
"01","Ha Noi","021","Bac Tu Liem","00611","Xuan Tao","5715"
"01","Ha Noi","021","Bac Tu Liem","00613","Minh Khai","11297"
"01","Ha Noi","021","Bac Tu Liem","00616","Co Nhue 1","14727"
"01","Ha Noi","021","Bac Tu Liem","00617","Co Nhue 2","14574"
"01","Ha Noi","021","Bac Tu Liem","00619","Phu Dien","12985"
"01","Ha Noi","021","Bac Tu Liem","00620","Phuc Dien","9728"
"01","Ha Noi","250","Me Linh","08973","Chi Dong","4536"
"01","Ha Noi","250","Me Linh","08974","Dai Thinh","3208"
"01","Ha Noi","250","Me Linh","08977","Kim Hoa","3018"
"01","Ha Noi","250","Me Linh","08980","Thach Da","3169"
"01","Ha Noi","250","Me Linh","08983","Tien Thang","3311"
"01","Ha Noi","250","Me Linh","08986","Tu Lap","2691"
"01","Ha Noi","250","Me Linh","08989","Quang Minh","9207"
"01","Ha Noi","250","Me Linh","08992","Thanh Lam","4915"
"01","Ha Noi","250","Me Linh","08995","Tam Dong","2436"
"01","Ha Noi","250","Me Linh","08998","Lien Mac","3759"
"01","Ha Noi","250","Me Linh","09001","Van Yen","1205"
"01","Ha Noi","250","Me Linh","09004","Chu Phan","2697"
"01","Ha Noi","250","Me Linh","09007","Tien Thinh","2739"
"01","Ha Noi","250","Me Linh","09010","Me Linh","3554"
"01","Ha Noi","250","Me Linh","09013","Van Khe","3978"
"01","Ha Noi","250","Me Linh","09016","Hoang Kim","1508"
"01","Ha Noi","250","Me Linh","09019","Tien Phong","5037"
"01","Ha Noi","250","Me Linh","09022","Trang Viet","2838"
"01","Ha Noi","268","Ha Dong","09538","Nguyen Trai","3326"
"01","Ha Noi","268","Ha Dong","09541","Mo Lao","9440"
"01","Ha Noi","268","Ha Dong","09542","Van Quan","6260"
"01","Ha Noi","268","Ha Dong","09544","Van Phuc","4924"
"01","Ha Noi","268","Ha Dong","09547","Yet Kieu","1724"
"01","Ha Noi","268","Ha Dong","09550","Quang Trung","4196"
"01","Ha Noi","268","Ha Dong","09551","La Khe","10806"
"01","Ha Noi","268","Ha Dong","09552","Phu La","6486"
"01","Ha Noi","268","Ha Dong","09553","Phuc La","8940"
"01","Ha Noi","268","Ha Dong","09556","Ha Cau","6096"
"01","Ha Noi","268","Ha Dong","09562","Yen Nghia","8205"
"01","Ha Noi","268","Ha Dong","09565","Kien Hung","9416"
"01","Ha Noi","268","Ha Dong","09568","Phu Lam","4314"
"01","Ha Noi","268","Ha Dong","09571","Phu Luong","7187"
"01","Ha Noi","268","Ha Dong","09886","Duong Noi","8252"
"01","Ha Noi","268","Ha Dong","10117","Dong Mai","3866"
"01","Ha Noi","268","Ha Dong","10123","Bien Giang","1999"
"01","Ha Noi","269","Son Tay","09574","Le Loi","2221"
"01","Ha Noi","269","Son Tay","09577","Phu Thinh","2202"
"01","Ha Noi","269","Son Tay","09580","Ngo Quyen","1599"
"01","Ha Noi","269","Son Tay","09583","Quang Trung","2217"
"01","Ha Noi","269","Son Tay","09586","Son Loc","2192"
"01","Ha Noi","269","Son Tay","09589","Xuan Khanh","2577"
"01","Ha Noi","269","Son Tay","09592","Duong Lam","2621"
"01","Ha Noi","269","Son Tay","09595","Vien Son","1915"
"01","Ha Noi","269","Son Tay","09598","Xuan Son","2420"
"01","Ha Noi","269","Son Tay","09601","Trung Hung","2519"
"01","Ha Noi","269","Son Tay","09604","Thanh My","2857"
"01","Ha Noi","269","Son Tay","09607","Trung Son Tram","2198"
"01","Ha Noi","269","Son Tay","09610","Kim Son","1983"
"01","Ha Noi","269","Son Tay","09613","Son Dong","3896"
"01","Ha Noi","269","Son Tay","09616","Co Dong","4422"
"01","Ha Noi","271","Ba Vi","09619","Tay Dang","3858"
"01","Ha Noi","271","Ba Vi","09625","Phu Cuong","1543"
"01","Ha Noi","271","Ba Vi","09628","Co Do","2067"
"01","Ha Noi","271","Ba Vi","09631","Tan Hong","3303"
"01","Ha Noi","271","Ba Vi","09634","Van Thang","4047"
"01","Ha Noi","271","Ba Vi","09637","Chau Son","1259"
"01","Ha Noi","271","Ba Vi","09640","Phong Van","1831"
"01","Ha Noi","271","Ba Vi","09643","Phu Dong","1349"
"01","Ha Noi","271","Ba Vi","09646","Phu Phuong","1509"
"01","Ha Noi","271","Ba Vi","09649","Phu Chau","2829"
"01","Ha Noi","271","Ba Vi","09652","Thai Hoa","2302"
"01","Ha Noi","271","Ba Vi","09655","Dong Thai","2870"
"01","Ha Noi","271","Ba Vi","09658","Phu Son","2457"
"01","Ha Noi","271","Ba Vi","09661","Minh Chau","1262"
"01","Ha Noi","271","Ba Vi","09664","Vat Lai","2969"
"01","Ha Noi","271","Ba Vi","09667","Chu Minh","1756"
"01","Ha Noi","271","Ba Vi","09670","Tong Bat","2235"
"01","Ha Noi","271","Ba Vi","09673","Cam Linh","3156"
"01","Ha Noi","271","Ba Vi","09676","Son Da","2196"
"01","Ha Noi","271","Ba Vi","09679","Dong Quang","1242"
"01","Ha Noi","271","Ba Vi","09682","Tien Phong","2182"
"01","Ha Noi","271","Ba Vi","09685","Thuy An","2217"
"01","Ha Noi","271","Ba Vi","09688","Cam Thuong","1787"
"01","Ha Noi","271","Ba Vi","09691","Thuan My","1439"
"01","Ha Noi","271","Ba Vi","09694","Tan Linh","3925"
"01","Ha Noi","271","Ba Vi","09697","Ba Trai","3446"
"01","Ha Noi","271","Ba Vi","09700","Minh Quang","3057"
"01","Ha Noi","271","Ba Vi","09703","Ba Vi","522"
"01","Ha Noi","271","Ba Vi","09706","Van Hoa","2998"
"01","Ha Noi","271","Ba Vi","09709","Yen Bai","1975"
"01","Ha Noi","271","Ba Vi","09712","Khanh Thuong","1999"
"01","Ha Noi","272","Phuc Tho","09715","Phuc Tho","2248"
"01","Ha Noi","272","Phuc Tho","09718","Van Ha","494"
"01","Ha Noi","272","Phuc Tho","09721","Van Phuc","1624"
"01","Ha Noi","272","Phuc Tho","09724","Van Nam","1640"
"01","Ha Noi","272","Phuc Tho","09727","Xuan Phu","1533"
"01","Ha Noi","272","Phuc Tho","09730","Phuong Do","442"
"01","Ha Noi","272","Phuc Tho","09733","Sen Chieu","2763"
"01","Ha Noi","272","Phuc Tho","09736","Cam Dinh","885"
"01","Ha Noi","272","Phuc Tho","09739","Vong Xuyen","4232"
"01","Ha Noi","272","Phuc Tho","09742","Tho Loc","2008"
"01","Ha Noi","272","Phuc Tho","09745","Long Xuyen","2310"
"01","Ha Noi","272","Phuc Tho","09748","Thuong Coc","1270"
"01","Ha Noi","272","Phuc Tho","09751","Hat Mon","1893"
"01","Ha Noi","272","Phuc Tho","09754","Tich Giang","2284"
"01","Ha Noi","272","Phuc Tho","09757","Thanh Da","1840"
"01","Ha Noi","272","Phuc Tho","09760","Trach My Loc","1794"
"01","Ha Noi","272","Phuc Tho","09763","Phuc Hoa","1797"
"01","Ha Noi","272","Phuc Tho","09766","Ngoc Tao","2267"
"01","Ha Noi","272","Phuc Tho","09769","Phung Thuong","3901"
"01","Ha Noi","272","Phuc Tho","09772","Tam Thuan","1674"
"01","Ha Noi","272","Phuc Tho","09775","Tam Hiep","3204"
"01","Ha Noi","272","Phuc Tho","09778","Hiep Thuan","2766"
"01","Ha Noi","272","Phuc Tho","09781","Lien Hiep","2570"
"01","Ha Noi","273","Dan Phuong","09784","Phung","2646"
"01","Ha Noi","273","Dan Phuong","09787","Trung Chau","2061"
"01","Ha Noi","273","Dan Phuong","09790","Tho An","2609"
"01","Ha Noi","273","Dan Phuong","09793","Tho Xuan","2430"
"01","Ha Noi","273","Dan Phuong","09796","Hong Ha","3056"
"01","Ha Noi","273","Dan Phuong","09799","Lien Hong","2190"
"01","Ha Noi","273","Dan Phuong","09802","Lien Ha","2208"
"01","Ha Noi","273","Dan Phuong","09805","Ha Mo","2375"
"01","Ha Noi","273","Dan Phuong","09808","Lien Trung","2150"
"01","Ha Noi","273","Dan Phuong","09811","Phuong Dinh","2932"
"01","Ha Noi","273","Dan Phuong","09814","Thuong Mo","2189"
"01","Ha Noi","273","Dan Phuong","09817","Tan Hoi","5478"
"01","Ha Noi","273","Dan Phuong","09820","Tan Lap","6604"
"01","Ha Noi","273","Dan Phuong","09823","Dan Phuong","2486"
"01","Ha Noi","273","Dan Phuong","09826","Dong Thap","1966"
"01","Ha Noi","273","Dan Phuong","09829","Song Phuong","1246"
"01","Ha Noi","274","Hoai Duc","09832","Tram Troi","1565"
"01","Ha Noi","274","Hoai Duc","09835","Duc Thuong","3820"
"01","Ha Noi","274","Hoai Duc","09838","Minh Khai","1461"
"01","Ha Noi","274","Hoai Duc","09841","Duong Lieu","3143"
"01","Ha Noi","274","Hoai Duc","09844","Di Trach","3204"
"01","Ha Noi","274","Hoai Duc","09847","Duc Giang","3417"
"01","Ha Noi","274","Hoai Duc","09850","Cat Que","4084"
"01","Ha Noi","274","Hoai Duc","09853","Kim Chung","4338"
"01","Ha Noi","274","Hoai Duc","09856","Yen So","2839"
"01","Ha Noi","274","Hoai Duc","09859","Son Dong","2663"
"01","Ha Noi","274","Hoai Duc","09862","Van Canh","3595"
"01","Ha Noi","274","Hoai Duc","09865","Dac So","1271"
"01","Ha Noi","274","Hoai Duc","09868","Lai Yen","2196"
"01","Ha Noi","274","Hoai Duc","09871","Tien Yen","2000"
"01","Ha Noi","274","Hoai Duc","09874","Song Phuong","3341"
"01","Ha Noi","274","Hoai Duc","09877","An Khanh","11437"
"01","Ha Noi","274","Hoai Duc","09880","An Thuong","4362"
"01","Ha Noi","274","Hoai Duc","09883","Van Con","3670"
