"","IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B12A1_MA","M4B12A1_C1","M4B12A1_C1_GHIRO","M4B12A1_C2","M4B12A1_C3","M4B12A1_C4","M4B12A1_C5","M4B12A1_C6"
"267","03158003013","11","096","03158","003","013",2,1,4,NA,NA,NA,NA,NA,4050
"268","03158003015","11","096","03158","003","015",2,1,4,NA,NA,NA,NA,NA,810
"269","03200005001","11","097","03200","005","001",2,1,4,NA,NA,NA,NA,NA,4500
"270","03200005003","11","097","03200","005","003",2,1,4,NA,NA,NA,NA,NA,1960
"271","03200005004","11","097","03200","005","004",2,1,4,NA,NA,NA,NA,NA,3380
"272","03200005006","11","097","03200","005","006",2,1,4,NA,NA,NA,NA,NA,3600
"273","03200005007","11","097","03200","005","007",2,1,4,NA,NA,NA,NA,NA,22500
"274","03200005008","11","097","03200","005","008",2,1,4,NA,NA,NA,NA,NA,3250
"275","03200005009","11","097","03200","005","009",2,1,4,NA,NA,NA,NA,NA,29400
"276","03200005010","11","097","03200","005","010",2,1,4,NA,NA,NA,NA,NA,3900
"277","03200005011","11","097","03200","005","011",2,1,4,NA,NA,NA,NA,NA,2820
"278","03200005012","11","097","03200","005","012",2,1,4,NA,NA,NA,NA,NA,4438
"279","03200005013","11","097","03200","005","013",2,1,4,NA,NA,NA,NA,NA,4340
"280","03200005014","11","097","03200","005","014",2,1,4,NA,NA,NA,NA,NA,5600
"281","03200005015","11","097","03200","005","015",2,1,4,NA,NA,NA,NA,NA,3080
"282","03202001001","11","097","03202","001","001",2,1,4,NA,NA,NA,NA,NA,7500
"283","03202001002","11","097","03202","001","002",2,1,4,NA,NA,NA,NA,NA,3600
"284","03202001003","11","097","03202","001","003",2,1,4,NA,NA,NA,NA,NA,8400
"285","03202001004","11","097","03202","001","004",2,1,4,NA,NA,NA,NA,NA,1500
"286","03202001005","11","097","03202","001","005",2,1,4,NA,NA,NA,NA,NA,2250
"287","03202001006","11","097","03202","001","006",2,1,4,NA,NA,NA,NA,NA,5400
"288","03202001007","11","097","03202","001","007",2,1,4,NA,NA,NA,NA,NA,600
"289","03202001008","11","097","03202","001","008",2,1,4,NA,NA,NA,NA,NA,1064
"290","03202001009","11","097","03202","001","009",2,1,4,NA,NA,NA,NA,NA,1200
"291","03202001010","11","097","03202","001","010",2,1,4,NA,NA,NA,NA,NA,3000
"292","03202001011","11","097","03202","001","011",2,1,4,NA,NA,NA,NA,NA,1820
"293","03202001012","11","097","03202","001","012",2,1,4,NA,NA,NA,NA,NA,5280
"294","03211003001","11","101","03211","003","001",2,1,1,NA,"99","03358",4,NA,5200
