"","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","timing","harvest_combine","harvest_strawbaler","harvest_manual","harvest_other","other_specify","n_year_harvest","dry_method","dry_other","n_year_dry","store_method","moisture","KYDIEUTRA","dry_mechan","hermetic"
"170",6,61,1912,7,9,1912007009,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"171",6,61,1912,7,10,1912007010,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"172",6,61,1912,7,11,1912007011,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"173",6,61,1912,7,12,1912007012,3,0,0,1,0,NA,NA,3,NA,NA,2,1,1,0,0
"174",6,61,1912,7,13,1912007013,3,1,0,0,0,NA,2,3,NA,NA,2,1,1,0,0
"175",6,61,1912,7,15,1912007015,3,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"176",6,64,2035,3,1,2035003001,3,0,0,1,1,"máy gặt cầm tay",NA,2,NA,NA,1,1,1,0,0
"177",6,64,2035,3,2,2035003002,3,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"178",6,64,2035,3,4,2035003004,3,0,0,1,1,"máy gặt cầm tay",NA,2,NA,NA,1,1,1,0,0
"179",6,64,2035,3,6,2035003006,3,0,0,1,1,"gặt máy cầm tay",NA,2,NA,NA,1,1,1,0,0
"180",6,64,2035,3,13,2035003013,3,0,0,1,0,NA,NA,2,NA,NA,2,1,1,0,0
"181",6,64,2044,3,3,2044003003,3,0,0,1,0,NA,NA,2,NA,NA,2,2,1,0,0
"182",6,64,2044,3,6,2044003006,3,1,0,0,0,NA,2,3,NA,NA,2,2,1,0,0
"183",6,64,2044,3,7,2044003007,3,1,0,0,0,NA,2,3,NA,NA,2,2,1,0,0
"184",6,64,2044,3,9,2044003009,3,1,0,1,0,NA,2,3,NA,NA,2,2,1,0,0
"185",6,64,2044,3,10,2044003010,3,1,0,1,0,NA,2,3,NA,NA,2,2,1,0,0
"186",6,64,2044,3,11,2044003011,3,1,0,0,0,NA,2,3,NA,NA,2,2,1,0,0
"187",6,64,2044,3,12,2044003012,3,1,0,0,0,NA,3,3,NA,NA,2,2,1,0,0
"188",6,64,2044,3,14,2044003014,3,1,0,0,0,NA,2,3,NA,NA,2,2,1,0,0
"189",6,64,2047,4,1,2047004001,3,1,0,0,0,NA,3,3,NA,NA,2,1,1,0,0
"190",6,64,2047,4,2,2047004002,3,1,0,0,0,NA,3,3,NA,NA,2,1,1,0,0
"191",6,64,2047,4,3,2047004003,3,1,0,0,0,NA,3,3,NA,NA,2,1,1,0,0
"192",6,64,2047,4,4,2047004004,3,1,0,0,0,NA,3,3,NA,NA,2,1,1,0,0
"193",6,64,2047,4,5,2047004005,3,1,0,0,0,NA,3,3,NA,NA,2,1,1,0,0
"194",6,64,2047,4,6,2047004006,3,1,0,0,0,NA,3,3,NA,NA,2,1,1,0,0
"195",6,64,2047,4,7,2047004007,3,1,0,0,0,NA,3,3,NA,NA,2,1,1,0,0
"196",6,64,2047,4,8,2047004008,3,1,0,0,0,NA,3,2,NA,NA,2,1,1,0,0
"197",6,64,2047,4,9,2047004009,3,1,0,0,0,NA,3,3,NA,NA,2,1,1,0,0
"198",6,64,2047,4,10,2047004010,3,1,0,0,0,NA,3,3,NA,NA,2,1,1,0,0
"199",6,64,2047,4,11,2047004011,3,1,0,0,0,NA,3,3,NA,NA,2,1,1,0,0
"200",6,64,2047,4,12,2047004012,3,1,0,0,0,NA,3,3,NA,NA,2,1,1,0,0
"201",6,64,2047,4,13,2047004013,3,1,0,0,0,NA,3,3,NA,NA,2,1,1,0,0
"202",6,64,2047,4,14,2047004014,3,1,0,0,0,NA,3,3,NA,NA,2,1,1,0,0
"203",6,64,2047,4,15,2047004015,3,1,0,0,0,NA,3,2,NA,NA,2,1,1,0,0
