"IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B11_MA","M4B11_C3","M4B11_C3AD","M4B11_C3AM","M4B11_C3AY","M4B11_C3B","M4B11_C4","M4B11_C5","wt45"
"00985007004","02","031","00985","007","004",8,2,430,11,2,2022,NA,250,1470,364
"00985007004","02","031","00985","007","004",8,4,1900,10,7,2021,NA,1050,6309,364
"00985007004","02","031","00985","007","004",8,6,380,15,7,2021,NA,130,1134,364
"00985007005","02","031","00985","007","005",8,2,1200,15,2,2022,NA,700,4164,364
"00985007005","02","031","00985","007","005",8,4,1800,5,7,2021,NA,1000,5928,364
"00985007005","02","031","00985","007","005",8,6,260,10,7,2021,NA,100,855,364
"00985007006","02","031","00985","007","006",8,2,1720,17,2,2022,NA,1000,5964,364
"00985007006","02","031","00985","007","006",8,4,2540,1,7,2021,NA,1400,8328,364
"00985007006","02","031","00985","007","006",8,6,660,1,7,2021,NA,300,2655,364
"00985007007","02","031","00985","007","007",8,2,2060,12,2,2022,NA,1200,7278,364
"00985007007","02","031","00985","007","007",8,4,2500,2,7,2021,NA,1300,7941,364
"00985007007","02","031","00985","007","007",8,6,120,10,7,2021,NA,50,432,364
"00985007008","02","031","00985","007","008",8,2,2240,9,2,2022,NA,1300,7873,364
"00985007008","02","031","00985","007","008",8,4,3365,2,7,2021,NA,1750,10680,364
"00985007008","02","031","00985","007","008",8,6,146,2,7,2021,NA,60,513,364
"00985007009","02","031","00985","007","009",8,2,1030,14,2,2022,NA,600,3564,364
"00985007009","02","031","00985","007","009",8,4,1880,9,7,2021,NA,1000,6060,364
"00985007009","02","031","00985","007","009",8,6,365,9,7,2021,NA,140,1215,364
"00985007010","02","031","00985","007","010",8,2,690,15,2,2022,NA,400,2364,364
"00985007010","02","031","00985","007","010",8,4,2220,15,7,2021,NA,1200,7338,364
"00985007010","02","031","00985","007","010",8,6,440,15,7,2021,NA,200,1755,364
